Geoid,Tract,Year,type,County,CRA Eligible
6013345203,3452.03,2015,high,Contra Costa County,not eligible
6013345204,3452.04,2015,high,Contra Costa County,not eligible
6013346101,3461.01,2015,high,Contra Costa County,not eligible
6013346102,3461.02,2015,high,Contra Costa County,not eligible
6013346201,3462.01,2015,high,Contra Costa County,not eligible
6013346203,3462.03,2015,high,Contra Costa County,not eligible
6013346204,3462.04,2015,high,Contra Costa County,not eligible
6013347000,3470.0,2015,high,Contra Costa County,not eligible
6013348000,3480.0,2015,high,Contra Costa County,not eligible
6013349000,3490.0,2015,high,Contra Costa County,not eligible
6013350000,3500.0,2015,high,Contra Costa County,not eligible
6013351101,3511.01,2015,mid,Contra Costa County,not eligible
6013351102,3511.02,2015,mod,Contra Costa County,eligible
6013351103,3511.03,2015,mid,Contra Costa County,not eligible
6013351200,3512.0,2015,high,Contra Costa County,not eligible
6013352101,3521.01,2015,high,Contra Costa County,not eligible
6013352102,3521.02,2015,high,Contra Costa County,not eligible
6013352201,3522.01,2015,high,Contra Costa County,not eligible
6013352202,3522.02,2015,high,Contra Costa County,not eligible
6013353001,3530.01,2015,high,Contra Costa County,not eligible
6013353002,3530.02,2015,high,Contra Costa County,not eligible
6013354001,3540.01,2015,high,Contra Costa County,not eligible
6013354002,3540.02,2015,high,Contra Costa County,not eligible
6013355107,3551.07,2015,mid,Contra Costa County,not eligible
6013355108,3551.08,2015,high,Contra Costa County,not eligible
6013355109,3551.09,2015,mid,Contra Costa County,not eligible
6013355110,3551.1,2015,mid,Contra Costa County,not eligible
6013355111,3551.11,2015,mid,Contra Costa County,not eligible
6013355112,3551.12,2015,high,Contra Costa County,not eligible
6013355113,3551.13,2015,high,Contra Costa County,not eligible
6013355114,3551.14,2015,high,Contra Costa County,not eligible
6013355115,3551.15,2015,mid,Contra Costa County,not eligible
6013355116,3551.16,2015,high,Contra Costa County,not eligible
6013355117,3551.17,2015,high,Contra Costa County,not eligible
6013355200,3552.0,2015,mid,Contra Costa County,not eligible
6013355301,3553.01,2015,high,Contra Costa County,not eligible
6013355302,3553.02,2015,high,Contra Costa County,not eligible
6013355304,3553.04,2015,high,Contra Costa County,not eligible
6013355306,3553.06,2015,high,Contra Costa County,not eligible
6013356001,3560.01,2015,mid,Contra Costa County,not eligible
6013356002,3560.02,2015,high,Contra Costa County,not eligible
6013357000,3570.0,2015,mid,Contra Costa County,not eligible
6013358000,3580.0,2015,mod,Contra Costa County,eligible
6013359102,3591.02,2015,mid,Contra Costa County,not eligible
6013359103,3591.03,2015,mid,Contra Costa County,not eligible
6013359104,3591.04,2015,mid,Contra Costa County,not eligible
6013359105,3591.05,2015,high,Contra Costa County,not eligible
6013359202,3592.02,2015,mid,Contra Costa County,not eligible
6013359203,3592.03,2015,mid,Contra Costa County,not eligible
6013359204,3592.04,2015,high,Contra Costa County,not eligible
6013360101,3601.01,2015,mid,Contra Costa County,not eligible
6013360102,3601.02,2015,high,Contra Costa County,not eligible
6013360200,3602.0,2015,mid,Contra Costa County,not eligible
6013361000,3610.0,2015,mid,Contra Costa County,not eligible
6013362000,3620.0,2015,mid,Contra Costa County,not eligible
6013363000,3630.0,2015,mid,Contra Costa County,not eligible
6013364002,3640.02,2015,mid,Contra Costa County,not eligible
6013365002,3650.02,2015,low,Contra Costa County,eligible
6013365003,3650.03,2015,mid,Contra Costa County,not eligible
6013366001,3660.01,2015,mid,Contra Costa County,not eligible
6013366002,3660.02,2015,mod,Contra Costa County,eligible
6013367100,3671.0,2015,mid,Contra Costa County,not eligible
6013367200,3672.0,2015,mod,Contra Costa County,eligible
6013368001,3680.01,2015,mod,Contra Costa County,eligible
6013368002,3680.02,2015,mod,Contra Costa County,eligible
