Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Geoid
1011.0,2016,Marin County,mid,not eligible,0.0,0,0.9375,45,0.0,0,0.0,0,6097101100
1012.0,2016,Marin County,mod,eligible,0.8936170212765957,42,0.0,0,0.0,0,0.0,0,6097101200
1021.0,2016,Marin County,mid,not eligible,0.0,0,0.875,56,0.0,0,0.0,0,6097102100
1022.02,2016,Marin County,mod,eligible,0.8977272727272727,79,0.0,0,0.0,0,0.0,0,6097102202
1022.03,2016,Marin County,mod,eligible,0.8395061728395061,68,0.0,0,0.0,0,0.0,0,6097102203
1031.0,2016,Marin County,mid,not eligible,0.0,0,0.8974358974358975,105,0.0,0,0.0,0,6097103100
1032.0,2016,Marin County,mid,not eligible,0.0,0,0.7884615384615384,82,0.0,0,0.0,0,6097103200
1041.01,2016,Marin County,mid,not eligible,0.0,0,0.8432835820895522,113,0.0,0,0.0,0,6097104101
1041.02,2016,Marin County,mod,eligible,0.803921568627451,82,0.0,0,0.0,0,0.0,0,6097104102
1042.0,2016,Marin County,mid,not eligible,0.0,0,0.8936170212765957,84,0.0,0,0.0,0,6097104200
1043.0,2016,Marin County,mid,not eligible,0.0,0,0.9259259259259259,25,0.0,0,0.0,0,6097104300
1050.0,2016,Marin County,mid,not eligible,0.0,0,0.7217391304347827,83,0.0,0,0.0,0,6097105000
1060.01,2016,Marin County,mid,not eligible,0.0,0,0.7628865979381443,74,0.0,0,0.0,0,6097106001
1060.02,2016,Marin County,mod,eligible,0.8181818181818182,81,0.0,0,0.0,0,0.0,0,6097106002
1070.0,2016,Marin County,mid,not eligible,0.0,0,0.8508771929824561,97,0.0,0,0.0,0,6097107000
1081.0,2016,Marin County,mid,not eligible,0.0,0,0.8677685950413223,105,0.0,0,0.0,0,6097108100
1082.0,2016,Marin County,mod,eligible,0.7894736842105263,45,0.0,0,0.0,0,0.0,0,6097108200
1090.01,2016,Marin County,mid,not eligible,0.0,0,1.0,45,0.0,0,0.0,0,6097109001
1090.02,2016,Marin County,mid,not eligible,0.0,0,1.0,72,0.0,0,0.0,0,6097109002
1101.0,2016,Marin County,mid,not eligible,0.0,0,0.8985507246376812,62,0.0,0,0.0,0,6097110100
1102.0,2016,Marin County,high,not eligible,0.0,0,0.9032258064516129,112,0.0,0,0.0,0,6097110200
1110.0,2016,Marin County,mid,not eligible,0.0,0,0.9333333333333333,28,0.0,0,0.0,0,6097111000
1121.0,2016,Marin County,mid,not eligible,0.0,0,0.9264705882352942,63,0.0,0,0.0,0,6097112100
1122.01,2016,Marin County,low,eligible,0.6875,11,0.0,0,0.0,0,0.0,0,6097112201
1122.02,2016,Marin County,low,eligible,0.5849056603773585,31,0.0,0,0.0,0,0.0,0,6097112202
1130.0,2016,Marin County,mid,not eligible,0.0,0,0.8181818181818182,36,0.0,0,0.0,0,6097113000
1141.0,2016,Marin County,mid,not eligible,0.0,0,0.927536231884058,64,0.0,0,0.0,0,6097114100
1142.0,2016,Marin County,mid,not eligible,0.0,0,0.9661016949152542,57,0.0,0,0.0,0,6097114200
1150.0,2016,Marin County,mid,not eligible,0.0,0,0.9784172661870504,136,0.0,0,0.0,0,6097115000
1160.0,2016,Marin County,mod,eligible,0.8478260869565217,39,0.0,0,0.0,0,0.0,0,6097116000
1170.0,2016,Marin County,mid,not eligible,0.0,0,1.0,53,0.0,0,0.0,0,6097117000
1181.0,2016,Marin County,high,not eligible,0.0,0,1.0,38,0.0,0,0.0,0,6097118100
1191.0,2016,Marin County,high,not eligible,0.0,0,1.0,57,0.0,0,0.0,0,6097119100
1192.01,2016,Marin County,mod,eligible,0.7169811320754716,38,0.0,0,0.0,0,0.0,0,6097119201
1192.02,2016,Marin County,high,not eligible,0.0,0,1.0,60,0.0,0,0.0,0,6097119202
1200.0,2016,Marin County,mid,not eligible,0.0,0,0.9431818181818182,83,0.0,0,0.0,0,6097120000
1211.0,2016,Marin County,mid,not eligible,0.0,0,0.9285714285714286,65,0.0,0,0.0,0,6097121100
1212.0,2016,Marin County,mid,not eligible,0.0,0,0.9736842105263158,74,0.0,0,0.0,0,6097121200
1230.0,2016,Marin County,high,not eligible,0.0,0,1.0,32,0.0,0,0.0,0,6097123000
1241.0,2016,Marin County,high,not eligible,0.0,0,0.9900990099009901,100,0.0,0,0.0,0,6097124100
1242.0,2016,Marin County,high,not eligible,0.0,0,1.0,84,0.0,0,0.0,0,6097124200
1250.0,2016,Marin County,mid,not eligible,0.0,0,0.9714285714285714,34,0.0,0,0.0,0,6097125000
1261.0,2016,Marin County,high,not eligible,0.0,0,1.0,73,0.0,0,0.0,0,6097126100
1262.0,2016,Marin County,mid,not eligible,0.0,0,0.8787878787878788,58,0.0,0,0.0,0,6097126200
1270.0,2016,Marin County,high,not eligible,0.0,0,0.9775280898876404,87,0.0,0,0.0,0,6097127000
1281.0,2016,Marin County,high,not eligible,0.0,0,0.990909090909091,109,0.0,0,0.0,0,6097128100
1282.0,2016,Marin County,high,not eligible,0.0,0,1.0,100,0.0,0,0.0,0,6097128200
1290.0,2016,Marin County,mod,eligible,0.9523809523809523,20,0.0,0,0.0,0,0.0,0,6097129000
1302.01,2016,Marin County,high,not eligible,0.0,0,0.9795918367346939,48,0.0,0,0.0,0,6097130201
1302.02,2016,Marin County,high,not eligible,0.0,0,0.92,69,0.0,0,0.0,0,6097130202
1311.0,2016,Marin County,mid,not eligible,0.0,0,0.8888888888888888,8,0.0,0,0.0,0,6097131100
1321.0,2016,Marin County,mod,eligible,1.0,29,0.0,0,0.0,0,0.0,0,6097132100
1322.0,2016,Marin County,mod,eligible,0.8333333333333334,10,0.0,0,0.0,0,0.0,0,6097132200
1330.0,2016,Marin County,mid,not eligible,0.0,0,0.98,49,0.0,0,0.0,0,6097133000
