,Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract"
0,101.0,2014,San Francisco County,mod,eligible,0.875,21,0.0,0,0.125,3,0.0,0
1,102.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,58,0.0,0,0.0,0
2,103.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,29,0.0,0,0.0,0
3,104.0,2014,San Francisco County,mid,not eligible,0.0,0,0.9772727272727273,43,0.0,0,0.022727272727272728,1
4,105.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,29,0.0,0,0.0,0
5,106.0,2014,San Francisco County,low,eligible,1.0,21,0.0,0,0.0,0,0.0,0
6,107.0,2014,San Francisco County,low,eligible,1.0,8,0.0,0,0.0,0,0.0,0
7,108.0,2014,San Francisco County,mod,eligible,1.0,42,0.0,0,0.0,0,0.0,0
8,109.0,2014,San Francisco County,mid,not eligible,0.0,0,0.9444444444444444,34,0.0,0,0.05555555555555555,2
9,110.0,2014,San Francisco County,low,eligible,0.8435374149659864,124,0.0,0,0.1564625850340136,23,0.0,0
10,111.0,2014,San Francisco County,low,eligible,0.9629629629629629,26,0.0,0,0.037037037037037035,1,0.0,0
11,112.0,2014,San Francisco County,mid,not eligible,0.0,0,0.9473684210526315,36,0.0,0,0.05263157894736842,2
12,113.0,2014,San Francisco County,low,eligible,0.9166666666666666,11,0.0,0,0.08333333333333333,1,0.0,0
13,117.0,2014,San Francisco County,low,eligible,1.0,25,0.0,0,0.0,0,0.0,0
14,118.0,2014,San Francisco County,low,eligible,1.0,2,0.0,0,0.0,0,0.0,0
15,119.01,2014,San Francisco County,mid,not eligible,0.0,0,0.9811320754716981,52,0.0,0,0.018867924528301886,1
16,119.02,2014,San Francisco County,low,eligible,0.8888888888888888,8,0.0,0,0.1111111111111111,1,0.0,0
17,120.0,2014,San Francisco County,low,eligible,0.9272727272727272,51,0.0,0,0.07272727272727272,4,0.0,0
18,121.0,2014,San Francisco County,low,eligible,1.0,24,0.0,0,0.0,0,0.0,0
19,122.01,2014,San Francisco County,low,eligible,1.0,15,0.0,0,0.0,0,0.0,0
20,122.02,2014,San Francisco County,low,eligible,1.0,15,0.0,0,0.0,0,0.0,0
21,123.01,2014,San Francisco County,low,eligible,1.0,1,0.0,0,0.0,0,0.0,0
22,123.02,2014,San Francisco County,high,not eligible,0.0,0,1.0,3,0.0,0,0.0,0
23,124.01,2014,San Francisco County,low,eligible,1.0,4,0.0,0,0.0,0,0.0,0
24,124.02,2014,San Francisco County,low,eligible,0.9230769230769231,36,0.0,0,0.07692307692307693,3,0.0,0
25,125.01,2014,San Francisco County,low,eligible,0.6,6,0.0,0,0.4,4,0.0,0
26,125.02,2014,San Francisco County,low,eligible,1.0,1,0.0,0,0.0,0,0.0,0
27,126.01,2014,San Francisco County,high,not eligible,0.0,0,1.0,21,0.0,0,0.0,0
28,126.02,2014,San Francisco County,high,not eligible,0.0,0,1.0,26,0.0,0,0.0,0
29,127.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,42,0.0,0,0.0,0
30,128.0,2014,San Francisco County,high,not eligible,0.0,0,0.9705882352941176,33,0.0,0,0.029411764705882353,1
31,129.01,2014,San Francisco County,mid,not eligible,0.0,0,1.0,20,0.0,0,0.0,0
32,129.02,2014,San Francisco County,high,not eligible,0.0,0,1.0,17,0.0,0,0.0,0
33,130.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,56,0.0,0,0.0,0
34,131.01,2014,San Francisco County,high,not eligible,0.0,0,0.8307692307692308,54,0.0,0,0.16923076923076924,11
35,131.02,2014,San Francisco County,high,not eligible,0.0,0,1.0,36,0.0,0,0.0,0
36,132.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,37,0.0,0,0.0,0
37,133.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,56,0.0,0,0.0,0
38,134.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,65,0.0,0,0.0,0
39,135.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,19,0.0,0,0.0,0
40,151.0,2014,San Francisco County,mid,not eligible,0.0,0,0.9459459459459459,35,0.0,0,0.05405405405405406,2
41,152.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,49,0.0,0,0.0,0
42,153.0,2014,San Francisco County,high,not eligible,0.0,0,0.9545454545454546,21,0.0,0,0.045454545454545456,1
43,154.0,2014,San Francisco County,high,not eligible,0.0,0,0.9811320754716981,52,0.0,0,0.018867924528301886,1
44,155.0,2014,San Francisco County,mod,eligible,1.0,17,0.0,0,0.0,0,0.0,0
45,156.0,2014,San Francisco County,mid,not eligible,0.0,0,1.0,32,0.0,0,0.0,0
46,157.0,2014,San Francisco County,mid,not eligible,0.0,0,0.9705882352941176,66,0.0,0,0.029411764705882353,2
47,158.01,2014,San Francisco County,low,eligible,0.9583333333333334,23,0.0,0,0.041666666666666664,1,0.0,0
48,158.02,2014,San Francisco County,mid,not eligible,0.0,0,1.0,22,0.0,0,0.0,0
49,159.0,2014,San Francisco County,low,eligible,0.8787878787878788,29,0.0,0,0.12121212121212122,4,0.0,0
50,160.0,2014,San Francisco County,mid,not eligible,0.0,0,0.9130434782608695,42,0.0,0,0.08695652173913043,4
51,161.0,2014,San Francisco County,low,eligible,0.7058823529411765,12,0.0,0,0.29411764705882354,5,0.0,0
52,162.0,2014,San Francisco County,mod,eligible,0.8863636363636364,78,0.0,0,0.11363636363636363,10,0.0,0
53,163.0,2014,San Francisco County,mid,not eligible,0.0,0,1.0,38,0.0,0,0.0,0
54,164.0,2014,San Francisco County,mid,not eligible,0.0,0,1.0,42,0.0,0,0.0,0
55,165.0,2014,San Francisco County,high,not eligible,0.0,0,0.9836065573770492,60,0.0,0,0.01639344262295082,1
56,166.0,2014,San Francisco County,high,not eligible,0.0,0,0.9772727272727273,43,0.0,0,0.022727272727272728,1
57,167.0,2014,San Francisco County,high,not eligible,0.0,0,0.9772727272727273,43,0.0,0,0.022727272727272728,1
58,168.01,2014,San Francisco County,mid,not eligible,0.0,0,0.9925373134328358,133,0.0,0,0.007462686567164179,1
59,168.02,2014,San Francisco County,mod,eligible,0.4939759036144578,41,0.0,0,0.5060240963855421,42,0.0,0
60,169.0,2014,San Francisco County,mid,not eligible,0.0,0,0.84,42,0.0,0,0.16,8
61,170.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,57,0.0,0,0.0,0
62,171.01,2014,San Francisco County,high,not eligible,0.0,0,1.0,40,0.0,0,0.0,0
63,171.02,2014,San Francisco County,mid,not eligible,0.0,0,0.96875,31,0.0,0,0.03125,1
64,176.01,2014,San Francisco County,low,eligible,0.9076923076923077,59,0.0,0,0.09230769230769231,6,0.0,0
65,177.0,2014,San Francisco County,mod,eligible,1.0,16,0.0,0,0.0,0,0.0,0
66,178.01,2014,San Francisco County,low,eligible,0.9565217391304348,44,0.0,0,0.043478260869565216,2,0.0,0
67,178.02,2014,San Francisco County,low,eligible,1.0,82,0.0,0,0.0,0,0.0,0
68,179.02,2014,San Francisco County,low,eligible,1.0,1,0.0,0,0.0,0,0.0,0
69,180.0,2014,San Francisco County,high,not eligible,0.0,0,0.9891304347826086,91,0.0,0,0.010869565217391304,1
70,201.0,2014,San Francisco County,low,eligible,0.9007633587786259,118,0.0,0,0.09923664122137404,13,0.0,0
71,202.0,2014,San Francisco County,low,eligible,0.9272727272727272,51,0.0,0,0.07272727272727272,4,0.0,0
72,203.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,43,0.0,0,0.0,0
73,204.01,2014,San Francisco County,high,not eligible,0.0,0,0.9803921568627451,50,0.0,0,0.0196078431372549,1
74,204.02,2014,San Francisco County,high,not eligible,0.0,0,0.9846153846153847,64,0.0,0,0.015384615384615385,1
75,205.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,27,0.0,0,0.0,0
76,206.0,2014,San Francisco County,high,not eligible,0.0,0,1.0,62,0.0,0,0.0,0
