Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone
6001400100,"Census Tract 4001, Alameda County, California",2872,233,2851,2209,119,318,21,15,0,6,0
6001400200,"Census Tract 4002, Alameda County, California",2076,165,1854,1594,47,144,222,56,0,0,0
6001400300,"Census Tract 4003, Alameda County, California",4964,369,4541,3545,492,375,423,247,65,0,0
6001400400,"Census Tract 4004, Alameda County, California",4223,553,3957,2948,391,330,266,149,10,0,0
6001400500,"Census Tract 4005, Alameda County, California",3759,308,3323,1577,1303,249,436,179,13,0,0
6001400600,"Census Tract 4006, Alameda County, California",1676,200,1576,567,793,54,100,75,0,0,0
6001400700,"Census Tract 4007, Alameda County, California",3901,548,3709,1392,1771,371,192,32,36,0,0
6001400800,"Census Tract 4008, Alameda County, California",3005,335,2746,982,1138,525,259,67,0,0,8
6001400900,"Census Tract 4009, Alameda County, California",2667,392,2557,1004,1454,20,110,99,0,0,0
6001401000,"Census Tract 4010, Alameda County, California",6152,727,5714,1026,3484,881,438,402,15,0,0
6001401100,"Census Tract 4011, Alameda County, California",3551,362,2936,1856,498,392,615,431,0,0,24
6001401200,"Census Tract 4012, Alameda County, California",2515,263,2368,1692,349,292,147,103,0,0,0
6001401300,"Census Tract 4013, Alameda County, California",3269,614,2722,727,1369,542,547,382,14,0,0
6001401400,"Census Tract 4014, Alameda County, California",3536,785,2880,279,1770,699,656,207,0,0,0
6001401500,"Census Tract 4015, Alameda County, California",2493,465,2226,245,1587,251,267,197,0,0,0
6001401600,"Census Tract 4016, Alameda County, California",1614,417,1446,78,944,291,168,68,25,0,0
6001401700,"Census Tract 4017, Alameda County, California",1875,601,1078,249,597,131,797,201,0,0,0
6001401800,"Census Tract 4018, Alameda County, California",1265,325,1082,143,825,100,183,52,0,0,0
6001401900,"Census Tract 4019, Alameda County, California",678,341,311,115,19,74,367,33,0,0,0
6001402000,"Census Tract 4020, Alameda County, California",87,69,21,0,21,0,66,0,0,0,0
6001402100,"Census Tract 4021, Alameda County, California",1843,343,1641,186,1048,370,202,121,62,0,0
6001402200,"Census Tract 4022, Alameda County, California",1729,431,1188,291,681,108,541,386,0,0,0
6001402300,"Census Tract 4023, Alameda County, California",322,202,163,134,20,9,159,159,0,0,0
6001402400,"Census Tract 4024, Alameda County, California",2145,331,2005,497,1242,221,140,122,6,0,0
6001402500,"Census Tract 4025, Alameda County, California",2110,450,2023,174,1624,197,87,87,0,0,0
6001402600,"Census Tract 4026, Alameda County, California",1021,136,966,161,264,541,55,42,0,0,0
6001402700,"Census Tract 4027, Alameda County, California",1575,389,1293,30,1186,66,282,261,0,0,0
6001402800,"Census Tract 4028, Alameda County, California",2052,466,1905,415,996,366,147,73,0,0,11
6001402900,"Census Tract 4029, Alameda County, California",1025,163,978,156,285,521,47,24,0,0,0
6001403000,"Census Tract 4030, Alameda County, California",2441,237,2371,69,37,2244,70,70,0,0,0
6001403100,"Census Tract 4031, Alameda County, California",1107,274,1060,181,287,511,47,18,0,0,0
6001403200,"Census Tract 4032, Alameda County, California",50,30,50,50,0,0,0,0,0,0,0
6001403300,"Census Tract 4033, Alameda County, California",4196,514,4022,1098,229,2619,174,30,0,0,0
6001403400,"Census Tract 4034, Alameda County, California",4685,655,4324,1625,1060,1482,361,273,0,0,0
6001403500,"Census Tract 4035, Alameda County, California",6143,612,5795,2424,1508,1208,348,201,13,0,84
6001403600,"Census Tract 4036, Alameda County, California",5051,538,4798,1424,2257,612,253,194,0,0,0
6001403700,"Census Tract 4037, Alameda County, California",4881,295,4664,2670,1086,531,217,147,19,0,0
6001403800,"Census Tract 4038, Alameda County, California",4049,355,3357,2362,315,486,692,429,141,0,0
6001403900,"Census Tract 4039, Alameda County, California",3905,482,3682,2371,851,256,223,125,32,0,0
6001404000,"Census Tract 4040, Alameda County, California",3261,418,3089,1976,583,393,172,92,0,0,0
6001404100,"Census Tract 4041, Alameda County, California",5646,366,5199,3894,269,819,447,350,38,0,16
6001404200,"Census Tract 4042, Alameda County, California",3400,172,3139,2467,146,284,261,207,0,9,0
6001404300,"Census Tract 4043, Alameda County, California",3369,181,3221,2605,128,355,148,137,0,0,0
6001404400,"Census Tract 4044, Alameda County, California",5562,284,5415,3923,180,992,147,147,0,0,0
6001404501,"Census Tract 4045.01, Alameda County, California",1788,152,1788,1384,109,200,0,0,0,0,0
6001404502,"Census Tract 4045.02, Alameda County, California",6185,453,5930,4536,301,595,255,63,0,0,0
6001404600,"Census Tract 4046, Alameda County, California",4787,265,4694,3549,533,428,93,30,0,13,0
6001404700,"Census Tract 4047, Alameda County, California",2096,130,1957,1537,191,175,139,129,0,0,0
6001404800,"Census Tract 4048, Alameda County, California",2872,222,2486,1044,865,549,386,119,15,0,0
6001404900,"Census Tract 4049, Alameda County, California",4497,418,4066,2567,276,950,431,159,0,0,50
6001405000,"Census Tract 4050, Alameda County, California",3144,247,3031,2179,453,314,113,103,0,10,0
6001405100,"Census Tract 4051, Alameda County, California",4818,271,4609,3371,641,329,209,183,0,0,0
6001405200,"Census Tract 4052, Alameda County, California",4631,418,4271,1740,680,1443,360,136,16,0,21
6001405300,"Census Tract 4053, Alameda County, California",6170,619,4654,2002,1360,1105,1516,622,0,0,0
6001405400,"Census Tract 4054, Alameda County, California",6874,798,4783,568,1624,2182,2091,1318,26,20,16
6001405500,"Census Tract 4055, Alameda County, California",3418,567,2999,800,561,1531,419,161,0,0,0
6001405600,"Census Tract 4056, Alameda County, California",2947,409,2409,514,733,916,538,293,0,0,0
6001405700,"Census Tract 4057, Alameda County, California",3086,374,2361,480,726,1028,725,151,0,0,0
6001405800,"Census Tract 4058, Alameda County, California",3668,507,3230,506,683,2019,438,190,23,12,0
6001405900,"Census Tract 4059, Alameda County, California",6961,859,4506,425,791,2606,2455,1211,63,0,18
6001406000,"Census Tract 4060, Alameda County, California",3236,368,2309,518,330,1232,927,388,0,23,50
6001406100,"Census Tract 4061, Alameda County, California",3415,373,1175,425,309,405,2240,837,0,10,0
6001406201,"Census Tract 4062.01, Alameda County, California",6331,754,2683,56,879,1602,3648,2177,57,0,0
6001406202,"Census Tract 4062.02, Alameda County, California",4588,475,1401,351,185,559,3187,833,0,0,0
6001406300,"Census Tract 4063, Alameda County, California",4613,730,3115,157,1023,1925,1498,695,8,0,10
6001406400,"Census Tract 4064, Alameda County, California",1916,216,1639,581,746,290,277,42,19,2,0
6001406500,"Census Tract 4065, Alameda County, California",5926,736,3284,761,1276,879,2642,1453,0,0,25
6001406600,"Census Tract 4066, Alameda County, California",7600,735,5581,937,2280,1981,2019,851,100,17,0
6001406700,"Census Tract 4067, Alameda County, California",4885,399,4397,2390,574,1212,488,298,0,0,0
6001406800,"Census Tract 4068, Alameda County, California",3562,377,3280,1593,561,1061,282,121,14,0,0
6001406900,"Census Tract 4069, Alameda County, California",4455,461,3722,1534,563,1438,733,550,37,0,0
6001407000,"Census Tract 4070, Alameda County, California",6252,592,4627,921,1792,1808,1625,1200,0,0,0
6001407100,"Census Tract 4071, Alameda County, California",7912,1002,3856,596,1681,639,4056,1411,38,8,14
6001407200,"Census Tract 4072, Alameda County, California",5313,626,1730,431,405,794,3583,1335,0,226,0
6001407300,"Census Tract 4073, Alameda County, California",2459,510,1116,104,721,158,1343,826,10,79,0
6001407400,"Census Tract 4074, Alameda County, California",3550,697,1536,57,1206,219,2014,920,0,8,0
6001407500,"Census Tract 4075, Alameda County, California",3630,396,2035,178,1357,343,1595,603,0,0,0
6001407600,"Census Tract 4076, Alameda County, California",6952,952,4868,1037,2968,573,2084,377,36,19,38
6001407700,"Census Tract 4077, Alameda County, California",4382,438,3772,750,2455,389,610,247,0,15,0
6001407800,"Census Tract 4078, Alameda County, California",2950,829,2384,960,900,116,566,224,95,20,0
6001407900,"Census Tract 4079, Alameda County, California",2904,320,2594,1230,646,511,310,232,0,0,0
6001408000,"Census Tract 4080, Alameda County, California",2333,216,2187,1320,102,608,146,43,19,0,32
6001408100,"Census Tract 4081, Alameda County, California",5532,448,4990,2231,1581,936,542,227,12,0,0
6001408200,"Census Tract 4082, Alameda County, California",4453,451,3467,672,2463,128,986,234,0,0,0
6001408300,"Census Tract 4083, Alameda County, California",4611,486,3799,1157,2120,181,812,398,0,64,0
6001408400,"Census Tract 4084, Alameda County, California",4103,633,1971,174,1604,172,2132,691,21,194,0
6001408500,"Census Tract 4085, Alameda County, California",4990,782,2729,196,2038,172,2261,1299,11,0,0
6001408600,"Census Tract 4086, Alameda County, California",5434,482,3072,230,2589,253,2362,738,56,55,0
6001408700,"Census Tract 4087, Alameda County, California",7231,725,4419,286,3263,566,2812,1617,169,0,0
6001408800,"Census Tract 4088, Alameda County, California",5267,824,2908,50,2152,436,2359,1136,0,7,10
6001408900,"Census Tract 4089, Alameda County, California",3257,678,1856,55,1640,51,1401,567,13,0,0
6001409000,"Census Tract 4090, Alameda County, California",4386,1099,1889,31,1503,214,2497,438,21,0,0
6001409100,"Census Tract 4091, Alameda County, California",2502,518,1150,0,1010,0,1352,819,0,0,0
6001409200,"Census Tract 4092, Alameda County, California",2729,423,1361,21,1253,19,1368,226,0,0,0
6001409300,"Census Tract 4093, Alameda County, California",5642,569,2918,382,1947,207,2724,861,0,197,0
6001409400,"Census Tract 4094, Alameda County, California",4711,615,1245,83,801,314,3466,1211,88,0,0
6001409500,"Census Tract 4095, Alameda County, California",3502,583,1260,144,807,75,2242,973,0,43,0
6001409600,"Census Tract 4096, Alameda County, California",5748,683,2183,17,2051,43,3565,1509,0,0,4
6001409700,"Census Tract 4097, Alameda County, California",5139,763,2981,108,2519,166,2158,1059,0,0,0
6001409800,"Census Tract 4098, Alameda County, California",3700,478,3301,488,2563,101,399,153,11,0,0
6001409900,"Census Tract 4099, Alameda County, California",3460,363,3263,918,1958,266,197,113,12,0,0
6001410000,"Census Tract 4100, Alameda County, California",3038,385,2526,748,1433,215,512,151,15,0,9
6001410100,"Census Tract 4101, Alameda County, California",2691,369,2321,369,1784,0,370,162,68,0,0
6001410200,"Census Tract 4102, Alameda County, California",2986,488,2314,103,1994,180,672,15,0,0,0
6001410300,"Census Tract 4103, Alameda County, California",4221,558,2029,29,1371,390,2192,1105,0,0,0
6001410400,"Census Tract 4104, Alameda County, California",4608,777,2462,97,2125,139,2146,510,28,110,0
6001420100,"Census Tract 4201, Alameda County, California",2264,149,2088,1594,42,353,176,93,0,0,33
6001420200,"Census Tract 4202, Alameda County, California",2488,210,2264,1250,119,728,224,122,27,10,9
6001420300,"Census Tract 4203, Alameda County, California",4030,248,3742,2041,106,1500,288,171,0,11,37
6001420400,"Census Tract 4204, Alameda County, California",2099,308,1725,513,95,1039,374,277,0,0,0
6001420500,"Census Tract 4205, Alameda County, California",1978,194,1789,1352,16,329,189,178,0,0,0
6001420600,"Census Tract 4206, Alameda County, California",3057,207,2914,2372,19,389,143,123,0,0,0
6001421100,"Census Tract 4211, Alameda County, California",1739,184,1652,1329,0,221,87,87,0,0,0
6001421200,"Census Tract 4212, Alameda County, California",3426,231,3354,2889,89,328,72,56,0,0,0
6001421300,"Census Tract 4213, Alameda County, California",3465,207,3380,2882,0,304,85,76,0,0,0
6001421400,"Census Tract 4214, Alameda County, California",1570,140,1531,1434,10,87,39,26,0,0,0
6001421500,"Census Tract 4215, Alameda County, California",3257,215,3140,2669,9,263,117,38,9,19,0
6001421600,"Census Tract 4216, Alameda County, California",3433,259,3139,2555,51,370,294,72,15,9,0
6001421700,"Census Tract 4217, Alameda County, California",3404,265,3107,2373,134,451,297,221,0,0,0
6001421800,"Census Tract 4218, Alameda County, California",1940,270,1722,1300,62,241,218,31,141,0,0
6001421900,"Census Tract 4219, Alameda County, California",3498,255,3256,2334,261,576,242,56,0,0,0
6001422000,"Census Tract 4220, Alameda County, California",1191,345,1107,441,276,291,84,0,14,0,0
6001422100,"Census Tract 4221, Alameda County, California",2106,277,1246,633,327,272,860,334,0,0,0
6001422200,"Census Tract 4222, Alameda County, California",2753,330,2441,1579,333,466,312,259,0,0,0
6001422300,"Census Tract 4223, Alameda County, California",2866,316,2629,1836,83,560,237,187,0,0,0
6001422400,"Census Tract 4224, Alameda County, California",4296,385,3781,2270,137,1197,515,374,0,0,19
6001422500,"Census Tract 4225, Alameda County, California",5417,2015,5206,3495,356,1165,211,164,0,0,0
6001422600,"Census Tract 4226, Alameda County, California",1149,612,967,300,0,514,182,0,0,0,0
6001422700,"Census Tract 4227, Alameda County, California",3130,763,2921,2063,52,709,209,118,0,9,30
6001422800,"Census Tract 4228, Alameda County, California",6628,1184,5549,2300,160,2774,1079,642,0,0,0
6001422900,"Census Tract 4229, Alameda County, California",2647,334,2517,934,174,1277,130,94,0,0,0
6001423000,"Census Tract 4230, Alameda County, California",3948,430,3727,2408,450,701,221,171,0,0,0
6001423100,"Census Tract 4231, Alameda County, California",3532,308,2710,1772,517,303,822,428,29,0,0
6001423200,"Census Tract 4232, Alameda County, California",2307,255,1636,944,512,83,671,415,29,0,16
6001423300,"Census Tract 4233, Alameda County, California",3379,383,3082,1311,1405,203,297,91,120,0,0
6001423400,"Census Tract 4234, Alameda County, California",3695,294,3271,1504,1072,421,424,146,0,0,10
6001423500,"Census Tract 4235, Alameda County, California",4250,1370,3768,2228,989,422,482,394,0,0,0
6001423601,"Census Tract 4236.01, Alameda County, California",3022,678,2715,2094,91,391,307,70,0,0,0
6001423602,"Census Tract 4236.02, Alameda County, California",4414,421,4020,1992,149,1601,394,333,0,24,0
6001423700,"Census Tract 4237, Alameda County, California",3350,536,2995,2226,34,607,355,251,0,0,5
6001423800,"Census Tract 4238, Alameda County, California",2737,214,2680,2199,32,203,57,6,0,0,0
6001423901,"Census Tract 4239.01, Alameda County, California",1567,146,1436,842,308,109,131,22,0,0,0
6001423902,"Census Tract 4239.02, Alameda County, California",1467,133,1391,1256,75,46,76,28,0,0,0
6001424001,"Census Tract 4240.01, Alameda County, California",3432,458,2717,1552,810,220,715,464,0,0,0
6001424002,"Census Tract 4240.02, Alameda County, California",1862,242,1546,443,808,201,316,160,26,0,13
6001425100,"Census Tract 4251, Alameda County, California",9149,23,8284,3963,1377,2735,865,608,0,18,12
6001426100,"Census Tract 4261, Alameda County, California",5970,242,5854,4434,84,1150,116,78,0,0,0
6001426200,"Census Tract 4262, Alameda County, California",4470,246,4196,3151,48,753,274,251,0,0,0
6001427100,"Census Tract 4271, Alameda County, California",3848,305,3505,2651,179,405,343,134,13,12,0
6001427200,"Census Tract 4272, Alameda County, California",4277,390,3515,1672,107,1594,762,163,0,0,0
6001427300,"Census Tract 4273, Alameda County, California",4810,437,4070,2725,191,1002,740,511,0,0,0
6001427400,"Census Tract 4274, Alameda County, California",1409,370,1147,482,83,465,262,147,0,19,20
6001427500,"Census Tract 4275, Alameda County, California",1131,251,966,181,477,145,165,96,0,0,0
6001427600,"Census Tract 4276, Alameda County, California",3501,377,2854,810,450,1421,647,237,35,28,43
6001427700,"Census Tract 4277, Alameda County, California",4888,419,4393,2417,351,1319,495,228,14,0,0
6001427800,"Census Tract 4278, Alameda County, California",4603,448,3986,2310,199,1243,617,314,0,0,112
6001427900,"Census Tract 4279, Alameda County, California",4632,387,3997,2683,0,814,635,411,0,0,0
6001428000,"Census Tract 4280, Alameda County, California",2907,340,2315,1224,169,775,592,377,0,0,0
6001428100,"Census Tract 4281, Alameda County, California",4477,381,4001,3097,104,611,476,272,0,0,0
6001428200,"Census Tract 4282, Alameda County, California",6012,395,5448,3274,150,1806,564,322,0,46,15
6001428301,"Census Tract 4283.01, Alameda County, California",6018,463,5701,2564,235,2343,317,155,0,0,9
6001428302,"Census Tract 4283.02, Alameda County, California",6810,335,6320,3022,157,2826,490,247,0,0,11
6001428400,"Census Tract 4284, Alameda County, California",4241,812,3484,2258,186,904,757,140,0,0,33
6001428500,"Census Tract 4285, Alameda County, California",3256,450,3017,1564,308,1064,239,70,9,0,0
6001428600,"Census Tract 4286, Alameda County, California",3260,290,2977,1420,182,1188,283,131,0,11,0
6001430100,"Census Tract 4301, Alameda County, California",8573,412,7997,4098,210,3331,576,444,23,0,0
6001430200,"Census Tract 4302, Alameda County, California",6577,327,5824,4655,130,787,753,539,0,0,13
6001430300,"Census Tract 4303, Alameda County, California",3703,250,3206,2526,100,456,497,479,0,0,8
6001430400,"Census Tract 4304, Alameda County, California",1971,154,1732,1394,0,215,239,207,0,0,0
6001430500,"Census Tract 4305, Alameda County, California",5686,567,4341,2270,1413,583,1345,1147,16,6,0
6001430600,"Census Tract 4306, Alameda County, California",5605,379,4650,3215,147,1169,955,565,0,11,19
6001430700,"Census Tract 4307, Alameda County, California",3401,303,2912,2314,43,374,489,372,0,0,0
6001430800,"Census Tract 4308, Alameda County, California",5235,307,4407,3099,0,1004,828,551,0,9,0
6001430900,"Census Tract 4309, Alameda County, California",4410,376,3656,2272,459,859,754,516,43,0,0
6001431000,"Census Tract 4310, Alameda County, California",2652,243,1895,1659,54,137,757,440,0,9,0
6001431100,"Census Tract 4311, Alameda County, California",3134,278,2381,1503,369,369,753,421,0,47,33
6001431200,"Census Tract 4312, Alameda County, California",5783,582,4435,3161,478,587,1348,920,17,0,24
6001432100,"Census Tract 4321, Alameda County, California",3370,180,2868,1629,463,548,502,336,0,0,0
6001432200,"Census Tract 4322, Alameda County, California",3161,275,2409,1611,403,345,752,320,0,24,14
6001432300,"Census Tract 4323, Alameda County, California",3709,388,2273,969,377,841,1436,781,0,0,0
6001432400,"Census Tract 4324, Alameda County, California",5033,459,3543,1082,614,1618,1490,658,0,26,20
6001432500,"Census Tract 4325, Alameda County, California",9394,713,6518,1738,942,3385,2876,1683,0,35,128
6001432600,"Census Tract 4326, Alameda County, California",6089,384,4725,1773,1534,1155,1364,878,0,0,58
6001432700,"Census Tract 4327, Alameda County, California",2379,136,2035,1342,122,327,344,282,0,10,10
6001432800,"Census Tract 4328, Alameda County, California",3207,232,2677,1768,209,625,530,400,0,0,0
6001433000,"Census Tract 4330, Alameda County, California",3466,381,2981,1566,450,875,485,334,0,0,0
6001433101,"Census Tract 4331.01, Alameda County, California",6601,528,4063,1335,1676,822,2538,1383,11,63,0
6001433102,"Census Tract 4331.02, Alameda County, California",3593,359,2882,1215,173,1322,711,435,17,0,10
6001433200,"Census Tract 4332, Alameda County, California",6149,473,4833,1484,1246,1878,1316,1046,29,0,0
6001433300,"Census Tract 4333, Alameda County, California",6080,420,4518,1906,372,1880,1562,1028,0,0,37
6001433400,"Census Tract 4334, Alameda County, California",6259,459,5324,1634,497,2518,935,541,0,0,19
6001433500,"Census Tract 4335, Alameda County, California",3893,282,3257,1568,139,1476,636,476,0,0,0
6001433600,"Census Tract 4336, Alameda County, California",5780,573,4585,1925,700,1637,1195,879,0,0,0
6001433700,"Census Tract 4337, Alameda County, California",2559,357,1535,636,141,592,1024,521,0,44,0
6001433800,"Census Tract 4338, Alameda County, California",7913,899,5233,1421,1183,2316,2680,2030,25,0,11
6001433900,"Census Tract 4339, Alameda County, California",6146,712,3496,942,1238,982,2650,2363,0,13,0
6001434000,"Census Tract 4340, Alameda County, California",4618,499,2663,1261,816,432,1955,1031,0,0,0
6001435101,"Census Tract 4351.01, Alameda County, California",10779,622,9076,3676,1223,3747,1703,373,0,0,25
6001435102,"Census Tract 4351.02, Alameda County, California",4480,435,3911,1813,613,1371,569,291,30,0,0
6001435200,"Census Tract 4352, Alameda County, California",3520,411,2730,1069,863,772,790,496,0,0,6
6001435300,"Census Tract 4353, Alameda County, California",4751,533,3300,1366,1052,742,1451,542,27,0,60
6001435400,"Census Tract 4354, Alameda County, California",3931,421,2978,1278,864,772,953,227,0,0,38
6001435500,"Census Tract 4355, Alameda County, California",3467,528,2468,1179,730,284,999,412,10,34,13
6001435600,"Census Tract 4356, Alameda County, California",8970,857,4003,2303,533,693,4967,2497,0,28,0
6001435700,"Census Tract 4357, Alameda County, California",4071,385,2392,1177,385,759,1679,822,30,41,0
6001435800,"Census Tract 4358, Alameda County, California",5419,491,3503,2029,191,1159,1916,1367,38,0,0
6001435900,"Census Tract 4359, Alameda County, California",4895,492,3948,2076,79,1727,947,583,0,54,17
6001436000,"Census Tract 4360, Alameda County, California",4440,427,3056,1563,312,974,1384,755,0,0,0
6001436100,"Census Tract 4361, Alameda County, California",4600,298,3660,1770,697,931,940,436,0,0,11
6001436200,"Census Tract 4362, Alameda County, California",3273,438,1648,572,466,245,1625,374,98,0,0
6001436300,"Census Tract 4363, Alameda County, California",6785,633,2351,669,508,884,4434,1579,0,0,0
6001436401,"Census Tract 4364.01, Alameda County, California",7467,820,5755,3001,1224,880,1712,605,0,28,14
6001436402,"Census Tract 4364.02, Alameda County, California",2860,319,2489,1713,187,457,371,131,0,0,0
6001436500,"Census Tract 4365, Alameda County, California",4816,474,3240,1098,873,1082,1576,772,0,0,17
6001436601,"Census Tract 4366.01, Alameda County, California",6574,592,3031,955,1125,676,3543,1338,34,14,0
6001436602,"Census Tract 4366.02, Alameda County, California",4580,556,2310,498,958,743,2270,848,54,0,9
6001436700,"Census Tract 4367, Alameda County, California",3597,368,1923,969,140,736,1674,1014,0,93,0
6001436800,"Census Tract 4368, Alameda County, California",4012,473,2448,711,680,784,1564,780,0,34,0
6001436900,"Census Tract 4369, Alameda County, California",6189,658,3165,929,873,1013,3024,1004,11,12,0
6001437000,"Census Tract 4370, Alameda County, California",3124,401,1888,498,165,1059,1236,245,0,0,0
6001437100,"Census Tract 4371, Alameda County, California",10868,754,7994,1399,1028,5151,2874,1013,69,0,0
6001437200,"Census Tract 4372, Alameda County, California",6258,517,4796,1776,378,2228,1462,449,0,0,60
6001437300,"Census Tract 4373, Alameda County, California",2901,398,1726,358,124,631,1175,707,0,0,30
6001437400,"Census Tract 4374, Alameda County, California",3712,449,1858,1040,325,276,1854,768,0,44,22
6001437500,"Census Tract 4375, Alameda County, California",4144,544,2022,388,549,578,2122,816,19,0,0
6001437600,"Census Tract 4376, Alameda County, California",3328,434,1793,557,254,923,1535,783,16,0,0
6001437700,"Census Tract 4377, Alameda County, California",7306,920,3534,697,1004,1226,3772,1468,84,54,0
6001437800,"Census Tract 4378, Alameda County, California",4113,440,2310,938,416,717,1803,382,13,0,12
6001437900,"Census Tract 4379, Alameda County, California",2333,365,933,161,314,310,1400,788,0,0,40
6001438000,"Census Tract 4380, Alameda County, California",2733,346,1955,1448,120,265,778,385,0,0,0
6001438100,"Census Tract 4381, Alameda County, California",7794,948,4627,2010,644,1682,3167,1634,331,0,16
6001438201,"Census Tract 4382.01, Alameda County, California",4392,516,2354,536,362,994,2038,781,37,0,0
6001438202,"Census Tract 4382.02, Alameda County, California",9920,707,7171,2705,330,3812,2749,605,0,76,16
6001438300,"Census Tract 4383, Alameda County, California",3584,440,2044,531,246,888,1540,577,0,0,68
6001438400,"Census Tract 4384, Alameda County, California",1991,211,1568,610,332,536,423,172,0,0,7
6001440100,"Census Tract 4401, Alameda County, California",2819,1501,2243,1314,189,661,576,96,9,12,0
6001440200,"Census Tract 4402, Alameda County, California",6654,654,2212,717,0,1210,4442,1603,0,114,16
6001440301,"Census Tract 4403.01, Alameda County, California",7033,768,4848,1559,477,2625,2185,1283,34,0,0
6001440302,"Census Tract 4403.02, Alameda County, California",6991,457,6076,871,537,4286,915,296,7,0,42
6001440304,"Census Tract 4403.04, Alameda County, California",4880,462,4352,955,313,2966,528,115,0,0,34
6001440305,"Census Tract 4403.05, Alameda County, California",4128,323,3462,596,467,2203,666,217,0,0,38
6001440306,"Census Tract 4403.06, Alameda County, California",4195,370,3774,598,550,2553,421,115,0,0,25
6001440307,"Census Tract 4403.07, Alameda County, California",3986,410,3079,1260,219,1477,907,540,16,0,22
6001440308,"Census Tract 4403.08, Alameda County, California",6552,522,4437,907,200,3131,2115,775,11,0,0
6001440309,"Census Tract 4403.09, Alameda County, California",9486,732,8216,1138,582,6190,1270,514,0,0,36
6001440331,"Census Tract 4403.31, Alameda County, California",2977,429,2296,404,163,1712,681,72,8,0,14
6001440332,"Census Tract 4403.32, Alameda County, California",3378,290,3147,256,126,2502,231,73,0,0,39
6001441100,"Census Tract 4411, Alameda County, California",4108,501,3217,2192,19,752,891,606,0,0,0
6001441200,"Census Tract 4412, Alameda County, California",6722,385,5322,2599,163,2200,1400,216,30,14,0
6001441301,"Census Tract 4413.01, Alameda County, California",3005,256,2590,760,52,1556,415,180,9,0,0
6001441302,"Census Tract 4413.02, Alameda County, California",5427,505,4581,2198,161,2032,846,209,0,0,8
6001441401,"Census Tract 4414.01, Alameda County, California",6431,586,5692,1932,235,3201,739,478,16,0,22
6001441402,"Census Tract 4414.02, Alameda County, California",4757,381,4575,1977,113,2437,182,96,0,0,0
6001441501,"Census Tract 4415.01, Alameda County, California",6259,546,5657,1133,201,4099,602,246,0,0,24
6001441503,"Census Tract 4415.03, Alameda County, California",11749,661,11277,1521,167,9229,472,70,0,20,13
6001441521,"Census Tract 4415.21, Alameda County, California",6089,289,5746,1558,84,3940,343,110,0,0,59
6001441522,"Census Tract 4415.22, Alameda County, California",5035,308,4286,1060,444,2576,749,392,0,0,0
6001441601,"Census Tract 4416.01, Alameda County, California",4370,403,3478,1747,123,1344,892,149,0,37,0
6001441602,"Census Tract 4416.02, Alameda County, California",6975,803,5510,2427,246,2502,1465,325,0,0,74
6001441700,"Census Tract 4417, Alameda County, California",5997,423,4956,2189,389,1949,1041,276,0,0,0
6001441800,"Census Tract 4418, Alameda County, California",7088,1587,6001,3023,322,2274,1087,656,112,0,0
6001441901,"Census Tract 4419.01, Alameda County, California",11782,844,9935,3409,185,5927,1847,569,22,0,85
6001441921,"Census Tract 4419.21, Alameda County, California",3618,605,2699,1281,96,1072,919,251,0,0,0
6001441922,"Census Tract 4419.22, Alameda County, California",6473,747,5495,1914,318,2722,978,302,28,0,0
6001441923,"Census Tract 4419.23, Alameda County, California",5417,631,4683,1417,88,2813,734,105,0,0,0
6001442000,"Census Tract 4420, Alameda County, California",3352,199,3205,605,0,2226,147,95,0,0,10
6001442100,"Census Tract 4421, Alameda County, California",4722,222,4704,987,11,3573,18,10,0,0,0
6001442200,"Census Tract 4422, Alameda County, California",6562,445,6159,1983,0,3975,403,209,0,0,0
6001442300,"Census Tract 4423, Alameda County, California",8029,473,6167,2561,537,2669,1862,851,0,139,0
6001442400,"Census Tract 4424, Alameda County, California",5661,549,3537,1782,114,1406,2124,597,28,264,0
6001442500,"Census Tract 4425, Alameda County, California",7032,694,5096,2212,78,2533,1936,752,0,0,0
6001442600,"Census Tract 4426, Alameda County, California",8328,489,7083,4378,300,2170,1245,578,0,14,0
6001442700,"Census Tract 4427, Alameda County, California",2700,179,2368,1518,14,724,332,193,0,16,0
6001442800,"Census Tract 4428, Alameda County, California",2601,349,1948,993,132,810,653,225,0,0,0
6001442900,"Census Tract 4429, Alameda County, California",6450,662,5378,2451,250,2322,1072,633,0,0,0
6001443001,"Census Tract 4430.01, Alameda County, California",3306,339,2115,843,285,804,1191,827,26,0,10
6001443002,"Census Tract 4430.02, Alameda County, California",5306,403,4045,2066,109,1510,1261,459,0,31,9
6001443101,"Census Tract 4431.01, Alameda County, California",9522,567,9167,2199,98,6625,355,242,0,0,16
6001443102,"Census Tract 4431.02, Alameda County, California",4881,375,4585,1335,110,3069,296,51,0,83,1
6001443103,"Census Tract 4431.03, Alameda County, California",4589,1217,4589,1411,47,3010,0,0,0,0,0
6001443200,"Census Tract 4432, Alameda County, California",3456,284,3427,944,34,2263,29,0,0,0,7
