Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone
6085511911,"Census Tract 5119.11, Santa Clara County, California",4798,318,4360,3092,78,1000,438,120,0,0,0
6085511912,"Census Tract 5119.12, Santa Clara County, California",5936,356,5695,3466,0,2068,241,160,13,0,31
6085511913,"Census Tract 5119.13, Santa Clara County, California",4598,240,3979,3098,85,622,619,467,7,0,0
6085511914,"Census Tract 5119.14, Santa Clara County, California",6079,442,5741,4205,240,1068,338,188,79,7,0
6085512001,"Census Tract 5120.01, Santa Clara County, California",6411,379,5027,2286,133,2392,1384,668,0,0,14
6085512002,"Census Tract 5120.02, Santa Clara County, California",8027,573,6055,2266,893,2850,1972,1053,3,0,0
6085512005,"Census Tract 5120.05, Santa Clara County, California",7177,580,5524,3604,71,1502,1653,428,11,22,11
6085512014,"Census Tract 5120.14, Santa Clara County, California",6196,315,4442,3735,37,481,1754,1100,53,8,0
6085512015,"Census Tract 5120.15, Santa Clara County, California",5753,385,4403,3121,191,875,1350,861,7,20,51
6085512016,"Census Tract 5120.16, Santa Clara County, California",9225,624,6592,4754,576,1029,2633,1541,0,66,0
6085512017,"Census Tract 5120.17, Santa Clara County, California",7453,662,4692,1428,269,2610,2761,1897,0,51,34
6085512018,"Census Tract 5120.18, Santa Clara County, California",9879,836,4261,1237,478,2286,5618,2853,12,80,78
6085512019,"Census Tract 5120.19, Santa Clara County, California",5263,361,3808,2210,69,1194,1455,842,0,0,0
6085512020,"Census Tract 5120.20, Santa Clara County, California",7129,524,4913,1926,481,2302,2216,1568,0,0,58
6085512021,"Census Tract 5120.21, Santa Clara County, California",6568,584,5257,2670,402,2012,1311,718,23,14,0
6085512022,"Census Tract 5120.22, Santa Clara County, California",5801,532,4120,1681,168,2212,1681,735,0,16,12
6085512023,"Census Tract 5120.23, Santa Clara County, California",5840,447,2927,1574,127,1143,2913,1890,0,10,32
6085512024,"Census Tract 5120.24, Santa Clara County, California",4531,386,3529,1902,378,981,1002,599,0,24,10
6085512025,"Census Tract 5120.25, Santa Clara County, California",2971,299,2300,1415,0,785,671,411,0,0,10
6085512026,"Census Tract 5120.26, Santa Clara County, California",4643,326,3354,1685,169,1359,1289,886,94,0,0
6085512027,"Census Tract 5120.27, Santa Clara County, California",4356,266,3358,2411,32,524,998,749,6,0,13
6085512028,"Census Tract 5120.28, Santa Clara County, California",7855,448,6170,3951,154,1926,1685,1112,0,0,12
6085512029,"Census Tract 5120.29, Santa Clara County, California",7378,782,4283,3161,50,843,3095,2056,0,54,16
6085512030,"Census Tract 5120.30, Santa Clara County, California",2710,182,2289,1581,0,657,421,82,32,0,15
6085512031,"Census Tract 5120.31, Santa Clara County, California",4653,429,3663,2815,237,388,990,566,25,0,8
6085512032,"Census Tract 5120.32, Santa Clara County, California",3822,233,2644,1469,201,566,1178,600,0,0,0
6085512033,"Census Tract 5120.33, Santa Clara County, California",6562,566,5091,2825,202,1718,1471,1248,31,0,93
6085512034,"Census Tract 5120.34, Santa Clara County, California",3227,250,1943,1346,0,493,1284,811,0,0,113
6085512035,"Census Tract 5120.35, Santa Clara County, California",4401,278,3150,2204,50,699,1251,629,0,0,13
6085512100,"Census Tract 5121, Santa Clara County, California",1712,235,1159,887,0,260,553,499,0,0,1
6085512200,"Census Tract 5122, Santa Clara County, California",4474,477,3723,3029,24,603,751,393,0,0,26
6085512304,"Census Tract 5123.04, Santa Clara County, California",9970,755,5445,4269,138,807,4525,2829,0,0,54
6085512305,"Census Tract 5123.05, Santa Clara County, California",3744,395,3108,2244,132,626,636,294,0,0,10
6085512306,"Census Tract 5123.06, Santa Clara County, California",10324,760,4618,3610,195,565,5706,2948,0,0,72
6085512307,"Census Tract 5123.07, Santa Clara County, California",5920,487,4494,3682,230,397,1426,1044,0,0,135
6085512308,"Census Tract 5123.08, Santa Clara County, California",6511,369,5101,3800,68,921,1410,1037,0,12,20
6085512309,"Census Tract 5123.09, Santa Clara County, California",4678,317,4200,3314,13,633,478,389,0,0,28
6085512401,"Census Tract 5124.01, Santa Clara County, California",6140,2852,2148,1758,107,280,3992,1252,0,0,0
6085512402,"Census Tract 5124.02, Santa Clara County, California",4533,502,3526,3036,15,336,1007,433,0,0,0
6085512503,"Census Tract 5125.03, Santa Clara County, California",8274,588,5118,4066,76,790,3156,1868,19,0,91
6085512505,"Census Tract 5125.05, Santa Clara County, California",7229,470,3022,2093,87,440,4207,2615,28,26,0
6085512506,"Census Tract 5125.06, Santa Clara County, California",6005,554,1733,1178,31,299,4272,2123,59,57,54
