GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; 1, detached","Margin of Error; 1, detached","Estimate; 1, attached","Margin of Error; 1, attached",Estimate; 2,Margin of Error; 2,Estimate; 3 or 4,Margin of Error; 3 or 4,Estimate; 5 to 9,Margin of Error; 5 to 9,Estimate; 10 to 19,Margin of Error; 10 to 19,Estimate; 20 to 49,Margin of Error; 20 to 49,Estimate; 50 or more,Margin of Error; 50 or more,Estimate; Mobile home,Margin of Error; Mobile home,"Estimate; Boat, RV, van, etc.","Margin of Error; Boat, RV, van, etc."
1400000US06067004904,06067004904,"Census Tract 49.04, Sacramento County, California",2013,55,1544,137,252,98,34,33,66,66,55,59,20,22,8,15,23,25,11,18,0,132
1400000US06067004905,06067004905,"Census Tract 49.05, Sacramento County, California",2322,99,1064,146,133,93,23,37,109,101,534,171,298,138,101,64,42,38,18,29,0,132
1400000US06067004906,06067004906,"Census Tract 49.06, Sacramento County, California",883,73,621,95,27,26,6,10,0,132,7,12,0,132,0,132,0,132,222,59,0,132
1400000US06067005001,06067005001,"Census Tract 50.01, Sacramento County, California",2575,90,1720,189,432,158,118,79,13,24,0,132,34,54,50,50,0,132,208,80,0,132
1400000US06067005002,06067005002,"Census Tract 50.02, Sacramento County, California",2545,76,878,168,319,119,116,98,225,121,214,110,119,106,29,36,192,74,415,117,38,64
1400000US06067005101,06067005101,"Census Tract 51.01, Sacramento County, California",1405,36,985,121,72,49,0,132,34,39,44,61,0,132,0,132,90,79,180,60,0,132
1400000US06067005102,06067005102,"Census Tract 51.02, Sacramento County, California",1748,58,781,106,152,79,0,132,9,16,89,65,94,81,0,132,33,32,590,99,0,132
1400000US06067005103,06067005103,"Census Tract 51.03, Sacramento County, California",294,43,117,50,0,132,0,132,0,132,0,132,0,132,0,132,0,132,177,54,0,132
1400000US06067005201,06067005201,"Census Tract 52.01, Sacramento County, California",918,47,11,18,8,14,21,32,110,60,232,100,133,83,132,80,271,92,0,132,0,132
1400000US06067005202,06067005202,"Census Tract 52.02, Sacramento County, California",1548,50,942,76,155,50,26,31,58,39,131,73,210,75,0,132,26,26,0,132,0,132
1400000US06067005203,06067005203,"Census Tract 52.03, Sacramento County, California",3316,88,1496,184,40,38,0,132,311,127,399,229,264,144,126,59,323,136,340,99,17,26
1400000US06067005300,06067005300,"Census Tract 53, Sacramento County, California",346,32,108,58,29,19,126,55,54,40,11,19,0,132,8,13,0,132,0,132,10,16
1400000US06067005402,06067005402,"Census Tract 54.02, Sacramento County, California",1696,47,88,76,17,20,36,36,271,105,425,110,99,68,121,75,611,113,28,42,0,132
