GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",2872,233
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",2076,165
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",4964,369
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",4223,553
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",3759,308
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",1676,200
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",3901,548
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",3005,335
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",2667,392
1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",6152,727
1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",3551,362
1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",2515,263
1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",3269,614
1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",3536,785
1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",2493,465
1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",1614,417
1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",1875,601
1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",1265,325
1400000US06001401900,06001401900,"Census Tract 4019, Alameda County, California",678,341
1400000US06001402000,06001402000,"Census Tract 4020, Alameda County, California",87,69
1400000US06001402100,06001402100,"Census Tract 4021, Alameda County, California",1843,343
1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",1729,431
1400000US06001402300,06001402300,"Census Tract 4023, Alameda County, California",322,202
1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",2145,331
1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California",2110,450
1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California",1021,136
1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California",1575,389
1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California",2052,466
1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California",1025,163
1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California",2441,237
1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California",1107,274
1400000US06001403200,06001403200,"Census Tract 4032, Alameda County, California",50,30
1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California",4196,514
1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California",4685,655
1400000US06001403500,06001403500,"Census Tract 4035, Alameda County, California",6143,612
1400000US06001403600,06001403600,"Census Tract 4036, Alameda County, California",5051,538
1400000US06001403700,06001403700,"Census Tract 4037, Alameda County, California",4881,295
1400000US06001403800,06001403800,"Census Tract 4038, Alameda County, California",4049,355
1400000US06001403900,06001403900,"Census Tract 4039, Alameda County, California",3905,482
1400000US06001404000,06001404000,"Census Tract 4040, Alameda County, California",3261,418
1400000US06001404100,06001404100,"Census Tract 4041, Alameda County, California",5646,366
1400000US06001404200,06001404200,"Census Tract 4042, Alameda County, California",3400,172
1400000US06001404300,06001404300,"Census Tract 4043, Alameda County, California",3369,181
1400000US06001404400,06001404400,"Census Tract 4044, Alameda County, California",5562,284
1400000US06001404501,06001404501,"Census Tract 4045.01, Alameda County, California",1788,152
1400000US06001404502,06001404502,"Census Tract 4045.02, Alameda County, California",6185,453
1400000US06001404600,06001404600,"Census Tract 4046, Alameda County, California",4787,265
1400000US06001404700,06001404700,"Census Tract 4047, Alameda County, California",2096,130
1400000US06001404800,06001404800,"Census Tract 4048, Alameda County, California",2872,222
1400000US06001404900,06001404900,"Census Tract 4049, Alameda County, California",4497,418
1400000US06001405000,06001405000,"Census Tract 4050, Alameda County, California",3144,247
1400000US06001405100,06001405100,"Census Tract 4051, Alameda County, California",4818,271
1400000US06001405200,06001405200,"Census Tract 4052, Alameda County, California",4631,418
