GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US06001406202,06001406202,"Census Tract 4062.02, Alameda County, California",4597,381,1827,296,2770,268
1400000US06001406300,06001406300,"Census Tract 4063, Alameda County, California",4128,366,2647,420,1481,416
1400000US06001406400,06001406400,"Census Tract 4064, Alameda County, California",2355,316,1933,251,422,207
1400000US06001406500,06001406500,"Census Tract 4065, Alameda County, California",6231,654,2806,384,3425,671
1400000US06001406601,06001406601,"Census Tract 4066.01, Alameda County, California",5181,428,3614,414,1567,406
1400000US06001406602,06001406602,"Census Tract 4066.02, Alameda County, California",2815,323,2040,380,775,322
1400000US06001406700,06001406700,"Census Tract 4067, Alameda County, California",4984,385,4440,378,544,150
1400000US06001406800,06001406800,"Census Tract 4068, Alameda County, California",3613,300,3045,304,568,212
1400000US06001406900,06001406900,"Census Tract 4069, Alameda County, California",3941,311,3265,339,676,182
1400000US06001407000,06001407000,"Census Tract 4070, Alameda County, California",6020,807,4060,765,1960,589
1400000US06001407101,06001407101,"Census Tract 4071.01, Alameda County, California",3444,305,1791,302,1653,344
1400000US06001407102,06001407102,"Census Tract 4071.02, Alameda County, California",4106,487,2218,270,1888,481
1400000US06001407200,06001407200,"Census Tract 4072, Alameda County, California",7064,762,2240,375,4824,721
1400000US06001407300,06001407300,"Census Tract 4073, Alameda County, California",2485,262,1087,205,1398,205
1400000US06001407400,06001407400,"Census Tract 4074, Alameda County, California",4205,432,1457,213,2748,454
1400000US06001407500,06001407500,"Census Tract 4075, Alameda County, California",4362,508,2111,482,2251,412
1400000US06001407600,06001407600,"Census Tract 4076, Alameda County, California",6502,802,4473,547,2029,570
1400000US06001407700,06001407700,"Census Tract 4077, Alameda County, California",4240,328,3682,344,558,142
1400000US06001407800,06001407800,"Census Tract 4078, Alameda County, California",2742,221,2347,215,395,104
1400000US06001407900,06001407900,"Census Tract 4079, Alameda County, California",2971,236,2618,270,353,193
1400000US06001408000,06001408000,"Census Tract 4080, Alameda County, California",2762,221,2470,184,292,123
1400000US06001408100,06001408100,"Census Tract 4081, Alameda County, California",6346,560,5639,531,707,212
1400000US06001408200,06001408200,"Census Tract 4082, Alameda County, California",4489,440,3885,401,604,255
