Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Geoid,STATEFP00,COUNTYFP00,TRACTCE00,CTIDFP00,NAME00,NAMELSAD00,MTFCC00,FUNCSTAT00,geometry
2501.03,2015,Solano County,mid,not eligible,0.0,0,0.8947368421052632,68,0.0,0,0.0,0,6055250103,,,,,,,,,
2501.04,2015,Solano County,high,not eligible,0.0,0,0.9696969696969696,32,0.0,0,0.0,0,6055250104,,,,,,,,,
2501.05,2015,Solano County,high,not eligible,0.0,0,0.9307692307692308,121,0.0,0,0.0,0,6055250105,,,,,,,,,
2501.06,2015,Solano County,high,not eligible,0.0,0,0.9411764705882352,64,0.0,0,0.0,0,6055250106,,,,,,,,,
2502.0,2015,Solano County,mod,eligible,0.6935483870967742,43,0.0,0,0.0,0,0.0,0,6055250200,06,095,250200,06095250200,2502.0,Census Tract 2502,G5020,S,"POLYGON ((-122.201761 38.099908, -122.202042 38.099789, -122.202361 38.099678, -122.202497 38.099653, -122.202594 38.099644, -122.202697 38.099633, -122.202911 38.099642, -122.203047 38.099658, -122.203181 38.099683, -122.203247 38.099694, -122.204269 38.09999699999999, -122.204522 38.100047, -122.204753 38.100078, -122.205258 38.100122, -122.205719 38.100133, -122.206619 38.100136, -122.207378 38.100139, -122.208444 38.100135, -122.208867 38.10015, -122.209314 38.100153, -122.210169 38.100158, -122.211014 38.100164, -122.211522 38.100167, -122.212003 38.100172, -122.213725 38.100203, -122.214564 38.10021, -122.215367 38.100214, -122.215928 38.100219, -122.216099 38.100211, -122.216514 38.100186, -122.216711 38.100158, -122.216983 38.100083, -122.217769 38.099892, -122.217936 38.099869, -122.2179 38.100667, -122.217892 38.101775, -122.217881 38.103158, -122.217872 38.103516, -122.217861 38.103922, -122.21785 38.104244, -122.217808 38.104816, -122.217767 38.105358, -122.217736 38.106017, -122.217711 38.106811, -122.2177 38.107447, -122.217694 38.108078, -122.217683 38.108706, -122.217675 38.108911, -122.217681 38.109258, -122.217664 38.10943899999999, -122.217617 38.109633, -122.217306 38.109581, -122.216531 38.109389, -122.215908 38.109214, -122.215653 38.10915, -122.215392 38.109111, -122.215187 38.109109, -122.213889 38.109097, -122.212525 38.109089, -122.210667 38.109075, -122.210331 38.109072, -122.209867 38.109069, -122.209427 38.109069, -122.208983 38.109069, -122.208272 38.109081, -122.207894 38.109097, -122.207851 38.109101, -122.207697 38.109117, -122.207606 38.109156, -122.207472 38.109228, -122.207331 38.109342, -122.207192 38.109464, -122.20705 38.109569, -122.206875 38.109658, -122.206736 38.109708, -122.206586 38.10975, -122.206461 38.109764, -122.206244 38.109775, -122.206083 38.109758, -122.205914 38.109728, -122.205753 38.109669, -122.20535 38.109469, -122.204956 38.109272, -122.204533 38.109078, -122.204267 38.108933, -122.204039 38.108836, -122.203881 38.10878599999999, -122.203747 38.108756, -122.203567 38.108739, -122.203253 38.108733, -122.203344 38.107672, -122.203414 38.107208, -122.203478 38.106975, -122.203556 38.106744, -122.203678 38.106547, -122.203747 38.106461, -122.203936 38.106217, -122.204106 38.105997, -122.204311 38.105683, -122.204139 38.105586, -122.204033 38.105508, -122.203697 38.105197, -122.203494 38.104931, -122.203304 38.104663, -122.202994 38.104228, -122.201569 38.102134, -122.201336 38.101792, -122.200428 38.100475, -122.200962 38.100247, -122.201761 38.099908))"
2503.0,2015,Solano County,mod,eligible,0.7752808988764045,69,0.0,0,0.0,0,0.0,0,6055250300,06,095,250300,06095250300,2503.0,Census Tract 2503,G5020,S,"POLYGON ((-122.217936 38.099869, -122.218133 38.099847, -122.218311 38.099783, -122.220744 38.099808, -122.221722 38.099822, -122.223258 38.099822, -122.224197 38.099822, -122.224497 38.099831, -122.224853 38.099875, -122.224939 38.099894, -122.225572 38.100083, -122.226181 38.100308, -122.226561 38.100419, -122.226658 38.100458, -122.226742 38.100564, -122.226825 38.100586, -122.227094 38.100628, -122.228003 38.100717, -122.228325 38.100739, -122.228531 38.100744, -122.229255 38.100753, -122.2294 38.10075399999999, -122.229544 38.100756, -122.229667 38.100756, -122.22964 38.102884, -122.229636 38.10309, -122.229614 38.10481, -122.229608 38.10525, -122.229579 38.105871, -122.229586 38.106252, -122.229547 38.109615, -122.229369 38.109609, -122.229022 38.1096, -122.228951 38.109597, -122.228631 38.109689, -122.228494 38.10968099999999, -122.228256 38.109683, -122.227486 38.109658, -122.227308 38.109642, -122.227167 38.1096, -122.226508 38.109608, -122.225615 38.10964999999999, -122.225378 38.109661, -122.224603 38.109675, -122.223472 38.109692, -122.222017 38.109669, -122.221111 38.109656, -122.218917 38.109639, -122.218096 38.109643, -122.217808 38.109653, -122.217617 38.109633, -122.217664 38.10943899999999, -122.217681 38.109258, -122.217675 38.108911, -122.217683 38.108706, -122.217694 38.108078, -122.2177 38.107447, -122.217711 38.106811, -122.217736 38.106017, -122.217767 38.105358, -122.217808 38.104816, -122.21785 38.104244, -122.217861 38.103922, -122.217872 38.103516, -122.217881 38.103158, -122.217892 38.101775, -122.2179 38.100667, -122.217936 38.099869))"
2504.0,2015,Solano County,mid,not eligible,0.0,0,0.8181818181818182,54,0.0,0,0.0,0,6055250400,06,095,250400,06095250400,2504.0,Census Tract 2504,G5020,S,"POLYGON ((-122.229733 38.096133, -122.229731 38.096249, -122.229684 38.09948199999999, -122.229667 38.100756, -122.229544 38.100756, -122.2294 38.10075399999999, -122.229255 38.100753, -122.228531 38.100744, -122.228325 38.100739, -122.228003 38.100717, -122.227094 38.100628, -122.226825 38.100586, -122.226742 38.100564, -122.226658 38.100458, -122.226561 38.100419, -122.226181 38.100308, -122.225572 38.100083, -122.224939 38.099894, -122.224853 38.099875, -122.224497 38.099831, -122.224197 38.099822, -122.223258 38.099822, -122.221722 38.099822, -122.220744 38.099808, -122.218311 38.099783, -122.218133 38.099847, -122.217936 38.099869, -122.217969 38.098411, -122.218163 38.098406, -122.220758 38.098414, -122.220781 38.09725299999999, -122.220789 38.096658, -122.220789 38.096497, -122.220789 38.096353, -122.220803 38.096211, -122.220821 38.096186, -122.220292 38.095883, -122.218928 38.095081, -122.218796 38.095032, -122.218497 38.094944, -122.216853 38.094572, -122.214733 38.094125, -122.215078 38.093164, -122.215253 38.09285, -122.215428 38.092642, -122.215972 38.092078, -122.216053 38.091947, -122.216142 38.09175, -122.216194 38.0916, -122.216356 38.091636, -122.217228 38.091837, -122.21755 38.091911, -122.218692 38.092169, -122.218917 38.092219, -122.219544 38.091392, -122.219703 38.091175, -122.220158 38.090553, -122.220797 38.089678, -122.221225 38.089092, -122.221353 38.088919, -122.221847 38.08905, -122.223811 38.089603, -122.224895 38.089889, -122.225589 38.090072, -122.227772 38.090689, -122.228421 38.090862, -122.230206 38.09134299999999, -122.230381 38.091389, -122.230325 38.091581, -122.230267 38.091772, -122.230226 38.091937, -122.230205 38.09202399999999, -122.230167 38.092175, -122.230117 38.092433, -122.229844 38.094368, -122.229836 38.094422, -122.2298 38.094683, -122.229783 38.094894, -122.229761 38.095167, -122.229733 38.096133))"
2505.01,2015,Solano County,mid,not eligible,0.0,0,0.65,26,0.0,0,0.0,0,6055250501,06,095,250501,06095250501,2505.01,Census Tract 2505.01,G5020,S,"POLYGON ((-122.219294 38.088311, -122.219361 38.088339, -122.219797 38.088481, -122.221353 38.088919, -122.221225 38.089092, -122.220797 38.089678, -122.220158 38.090553, -122.219703 38.091175, -122.219544 38.091392, -122.218917 38.092219, -122.218692 38.092169, -122.21755 38.091911, -122.217228 38.091837, -122.216356 38.091636, -122.216194 38.0916, -122.216142 38.09175, -122.216053 38.091947, -122.215972 38.092078, -122.215428 38.092642, -122.215253 38.09285, -122.215078 38.093164, -122.214733 38.094125, -122.216853 38.094572, -122.218497 38.094944, -122.218796 38.095032, -122.218928 38.095081, -122.220292 38.095883, -122.220821 38.096186, -122.220803 38.096211, -122.220789 38.096353, -122.220789 38.096497, -122.220789 38.096658, -122.220781 38.09725299999999, -122.220758 38.098414, -122.218163 38.098406, -122.217969 38.098411, -122.217936 38.099869, -122.217769 38.099892, -122.216983 38.100083, -122.216711 38.100158, -122.216514 38.100186, -122.216099 38.100211, -122.215928 38.100219, -122.215367 38.100214, -122.214564 38.10021, -122.213725 38.100203, -122.212003 38.100172, -122.211522 38.100167, -122.211014 38.100164, -122.210169 38.100158, -122.209314 38.100153, -122.209333 38.098308, -122.209331 38.09764699999999, -122.209319 38.097325, -122.209303 38.097219, -122.209269 38.0971, -122.209228 38.096997, -122.209064 38.096589, -122.208928 38.096378, -122.208772 38.096161, -122.208717 38.096061, -122.208669 38.095944, -122.208628 38.095725, -122.208617 38.095442, -122.208636 38.094217, -122.208639 38.093453, -122.208636 38.093075, -122.208636 38.092981, -122.208606 38.092694, -122.208572 38.092569, -122.208314 38.091997, -122.208114 38.091608, -122.208056 38.09141899999999, -122.208008 38.091125, -122.207994 38.090975, -122.208003 38.090819, -122.208106 38.090361, -122.208186 38.090056, -122.208464 38.089044, -122.208481 38.089006, -122.208894 38.088417, -122.209525 38.087553, -122.209589 38.087428, -122.209656 38.087264, -122.209689 38.087122, -122.209728 38.086808, -122.209739 38.086658, -122.209792 38.086375, -122.209872 38.086172, -122.209908 38.086178, -122.211042 38.08611399999999, -122.211388 38.086135, -122.211583 38.086147, -122.214066 38.086419, -122.213481 38.086111, -122.214042 38.086206, -122.214656 38.086386, -122.214914 38.086468, -122.215311 38.086594, -122.2157 38.08674999999999, -122.216128 38.08693299999999, -122.217028 38.087344, -122.217642 38.087608, -122.217935 38.087735, -122.218989 38.088189, -122.219294 38.088311))"
2505.02,2015,Solano County,mid,not eligible,0.0,0,0.8356164383561644,61,0.0,0,0.0,0,6055250502,06,095,250502,06095250502,2505.02,Census Tract 2505.02,G5020,S,"POLYGON ((-122.201761 38.099908, -122.200962 38.100247, -122.200428 38.100475, -122.199744 38.099489, -122.19932 38.098852, -122.198675 38.097897, -122.198439 38.097556, -122.198247 38.097181, -122.198117 38.096844, -122.198061 38.0967, -122.197975 38.096378, -122.197911 38.095964, -122.197844 38.095531, -122.197804 38.095222, -122.197733 38.094669, -122.197606 38.093792, -122.197497 38.092839, -122.197486 38.0928, -122.197442 38.092619, -122.197331 38.09225, -122.197125 38.091669, -122.196668 38.090532, -122.196342 38.08972199999999, -122.196086 38.089106, -122.195803 38.088422, -122.1951 38.08678099999999, -122.194478 38.085267, -122.194147 38.084433, -122.193953 38.083886, -122.193508 38.082658, -122.193364 38.082372, -122.193231 38.082153, -122.193019 38.081867, -122.192842 38.081692, -122.192771 38.08164, -122.192436 38.081397, -122.192156 38.081183, -122.192222 38.081119, -122.192594 38.080533, -122.192767 38.080286, -122.192889 38.080108, -122.193275 38.080447, -122.193919 38.080953, -122.194189 38.081139, -122.194758 38.081531, -122.195356 38.081911, -122.195967 38.082265, -122.196103 38.082344, -122.196736 38.082658, -122.197364 38.082944, -122.198131 38.083272, -122.198257 38.083317, -122.198459 38.083389, -122.199239 38.083669, -122.200361 38.084008, -122.200454 38.084031, -122.200793 38.08411299999999, -122.201014 38.084167, -122.202283 38.084422, -122.203489 38.08461399999999, -122.204847 38.08481099999999, -122.206803 38.085117, -122.210206 38.085625, -122.210633 38.085687, -122.211544 38.085819, -122.212944 38.086022, -122.213481 38.086111, -122.214066 38.086419, -122.211583 38.086147, -122.211388 38.086135, -122.211042 38.08611399999999, -122.209908 38.086178, -122.209872 38.086172, -122.209792 38.086375, -122.209739 38.086658, -122.209728 38.086808, -122.209689 38.087122, -122.209656 38.087264, -122.209589 38.087428, -122.209525 38.087553, -122.208894 38.088417, -122.208481 38.089006, -122.208464 38.089044, -122.208186 38.090056, -122.208106 38.090361, -122.208003 38.090819, -122.207994 38.090975, -122.208008 38.091125, -122.208056 38.09141899999999, -122.208114 38.091608, -122.208314 38.091997, -122.208572 38.092569, -122.208606 38.092694, -122.208636 38.092981, -122.208636 38.093075, -122.208639 38.093453, -122.208636 38.094217, -122.208617 38.095442, -122.208628 38.095725, -122.208669 38.095944, -122.208717 38.096061, -122.208772 38.096161, -122.208928 38.096378, -122.209064 38.096589, -122.209228 38.096997, -122.209269 38.0971, -122.209303 38.097219, -122.209319 38.097325, -122.209331 38.09764699999999, -122.209333 38.098308, -122.209314 38.100153, -122.208867 38.10015, -122.208444 38.100135, -122.207378 38.100139, -122.206619 38.100136, -122.205719 38.100133, -122.205258 38.100122, -122.204753 38.100078, -122.204522 38.100047, -122.204269 38.09999699999999, -122.203247 38.099694, -122.203181 38.099683, -122.203047 38.099658, -122.202911 38.099642, -122.202697 38.099633, -122.202594 38.099644, -122.202497 38.099653, -122.202361 38.099678, -122.202042 38.099789, -122.201761 38.099908))"
2506.01,2015,Solano County,mid,not eligible,0.0,0,0.6017699115044248,68,0.0,0,0.0,0,6055250601,06,095,250601,06095250601,2506.01,Census Tract 2506.01,G5020,S,"POLYGON ((-122.222956 38.076117, -122.224441 38.074189, -122.225382 38.072962, -122.22735 38.07039899999999, -122.227897 38.070007, -122.227911 38.070033, -122.228661 38.071489, -122.229094 38.072156, -122.229372 38.072542, -122.230842 38.074512, -122.231342 38.075539, -122.231483 38.075739, -122.231828 38.076333, -122.231858 38.076397, -122.231969 38.076618, -122.232183 38.077044, -122.2324 38.077525, -122.232572 38.077997, -122.232588 38.078047, -122.232772 38.078606, -122.233028 38.079642, -122.233114 38.080147, -122.2332 38.08076399999999, -122.233244 38.08135, -122.233264 38.081864, -122.233264 38.082428, -122.233243 38.082878, -122.233211 38.083258, -122.233142 38.083761, -122.233028 38.084425, -122.232931 38.084889, -122.232873 38.08508399999999, -122.232831 38.085231, -122.232647 38.085858, -122.232353 38.086639, -122.232039 38.087414, -122.231533 38.088561, -122.231418 38.088831, -122.232075 38.087803, -122.231753 38.088828, -122.231536 38.089481, -122.231492 38.089586, -122.231437 38.089718, -122.2313 38.090044, -122.230928 38.090925, -122.230823 38.091274, -122.230747 38.091489, -122.230578 38.091442, -122.230381 38.091389, -122.230206 38.09134299999999, -122.228421 38.090862, -122.227772 38.090689, -122.225589 38.090072, -122.224895 38.089889, -122.223811 38.089603, -122.221847 38.08905, -122.221353 38.088919, -122.219797 38.088481, -122.219361 38.088339, -122.219294 38.088311, -122.218989 38.088189, -122.217935 38.087735, -122.217642 38.087608, -122.217028 38.087344, -122.216128 38.08693299999999, -122.2157 38.08674999999999, -122.215311 38.086594, -122.214914 38.086468, -122.214656 38.086386, -122.214042 38.086206, -122.213481 38.086111, -122.212961 38.085931, -122.210981 38.085494, -122.21084 38.085471, -122.211233 38.084889, -122.211256 38.084844, -122.211461 38.084711, -122.211631 38.084575, -122.211831 38.084394, -122.212009 38.084063, -122.212118 38.083895, -122.212167 38.08382, -122.212232 38.083696, -122.212359 38.083725, -122.212753 38.08325, -122.213014 38.082883, -122.213594 38.082081, -122.214264 38.081167, -122.214658 38.080631, -122.215156 38.080017, -122.215258 38.079939, -122.215322 38.079936, -122.215497 38.079956, -122.215675 38.080003, -122.21615 38.080108, -122.216419 38.080139, -122.216661 38.080156, -122.217086 38.080172, -122.218003 38.080236, -122.218478 38.080281, -122.218868 38.080339, -122.219453 38.080433, -122.219658 38.080459, -122.219989 38.080016, -122.220356 38.0791, -122.222128 38.077206, -122.222165 38.077146, -122.222956 38.076117))"
