,City Name,"hispanic, LM","hispanic, MH","non hispanic white, LM","non hispanic white, MH","asian, LM","asian, MH","black, LM","black, MH","other, LM","other , MH","missing race/ethnicity, LM","missing race/ethnicity, MH"
196,"South San Francisco city, CA",0.008,0.063,0.011,0.184,0.092,0.435,0.0,0.0,0.002,0.015,0.029,0.161
197,"St. Helena city, CA",0.013,0.013,0.275,0.512,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.125
198,"Stanford CDP, CA",0.021,0.021,0.042,0.521,0.0,0.208,0.0,0.0,0.0,0.042,0.0,0.146
199,"Stinson Beach CDP, CA",0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375
200,"Strawberry CDP, CA",0.0,0.014,0.0,0.654,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.234
201,"Suisun City city, CA",0.135,0.085,0.135,0.125,0.075,0.089,0.0,0.0,0.075,0.082,0.105,0.091
202,"Sunnyvale city, CA",0.008,0.038,0.019,0.161,0.064,0.542,0.0,0.0,0.0,0.011,0.022,0.135
203,"Sunol CDP, CA",0.0,0.024,0.0,0.31,0.0,0.452,0.0,0.0,0.0,0.052,0.0,0.161
204,"Tamalpais-Homestead Valley CDP, CA",0.0,0.024,0.0,0.643,0.0,0.068,0.0,0.0,0.0,0.012,0.0,0.252
205,"Tara Hills CDP, CA",0.103,0.123,0.055,0.11,0.137,0.137,0.0,0.0,0.068,0.021,0.158,0.089
206,"Temelec CDP, CA",0.0,0.057,0.0,0.759,0.0,0.028,0.0,0.0,0.0,0.007,0.0,0.149
207,"Tiburon town, CA",0.0,0.025,0.0,0.605,0.0,0.097,0.0,0.0,0.0,0.008,0.0,0.265
208,"Timber Cove CDP, CA",0.0,0.026,0.0,0.744,0.0,0.034,0.0,0.0,0.0,0.009,0.0,0.188
209,"Tomales CDP, CA",0.026,0.0,0.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0
210,"Union City city, CA",0.029,0.029,0.058,0.113,0.149,0.42,0.0,0.0,0.016,0.022,0.061,0.104
211,"Vacaville city, CA",0.02,0.109,0.052,0.42,0.006,0.09,0.0,0.0,0.014,0.079,0.022,0.188
212,"Vallejo city, CA",0.069,0.078,0.113,0.202,0.049,0.112,0.0,0.0,0.056,0.086,0.098,0.137
213,"Valley Ford CDP, CA",0.0,0.0,0.0,0.706,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.265
214,"Vine Hill CDP, CA",0.027,0.054,0.076,0.387,0.015,0.16,0.0,0.0,0.021,0.045,0.051,0.163
215,"Walnut Creek city, CA",0.001,0.04,0.057,0.473,0.008,0.161,0.0,0.0,0.001,0.023,0.015,0.221
216,"West Menlo Park CDP, CA",0.0,0.017,0.0,0.533,0.0,0.294,0.0,0.0,0.0,0.011,0.0,0.144
217,"Windsor town, CA",0.0,0.122,0.0,0.681,0.0,0.028,0.0,0.0,0.0,0.012,0.0,0.157
218,"Woodacre CDP, CA",0.0,0.056,0.0,0.704,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.204
219,"Woodside town, CA",0.0,0.014,0.0,0.551,0.0,0.218,0.0,0.0,0.0,0.02,0.0,0.197
220,"Yountville city, CA",0.0,0.152,0.0,0.616,0.0,0.04,0.0,0.0,0.0,0.007,0.0,0.185
