,City Name,"hispanic, LM","hispanic, MH","non hispanic white, LM","non hispanic white, MH","asian, LM","asian, MH","black, LM","black, MH","other, LM","other , MH","missing race/ethnicity, LM","missing race/ethnicity, MH"
130,"Muir Beach CDP, CA",0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2
131,"Napa city, CA",0.034,0.092,0.117,0.495,0.002,0.043,0.0,0.0,0.001,0.011,0.031,0.174
132,"Newark city, CA",0.006,0.019,0.039,0.067,0.217,0.427,0.0,0.0,0.008,0.01,0.107,0.098
133,"Nicasio CDP, CA",0.026,0.0,0.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0
134,"Norris Canyon CDP, CA",0.0,0.024,0.0,0.393,0.0,0.363,0.0,0.0,0.0,0.018,0.0,0.202
135,"North Fair Oaks CDP, CA",0.074,0.011,0.185,0.185,0.122,0.185,0.0,0.0,0.0,0.016,0.116,0.106
136,"North Gate CDP, CA",0.0,0.014,0.0,0.565,0.0,0.159,0.0,0.0,0.0,0.007,0.0,0.254
137,"North Richmond CDP, CA",0.101,0.107,0.038,0.216,0.038,0.164,0.0,0.0,0.019,0.066,0.057,0.194
138,"Novato city, CA",0.017,0.04,0.26,0.415,0.02,0.039,0.0,0.0,0.005,0.003,0.077,0.123
139,"Oakland city, CA",0.08,0.014,0.188,0.176,0.105,0.053,0.0,0.0,0.068,0.028,0.181,0.108
140,"Oakley city, CA",0.062,0.1,0.154,0.266,0.025,0.073,0.0,0.0,0.019,0.063,0.072,0.168
141,"Oakville CDP, CA",0.0,0.19,0.0,0.556,0.0,0.032,0.0,0.0,0.0,0.008,0.0,0.214
142,"Occidental CDP, CA",0.0,0.035,0.0,0.779,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.174
143,"Orinda city, CA",0.0,0.027,0.0,0.548,0.0,0.16,0.0,0.0,0.0,0.019,0.0,0.246
144,"Pacheco CDP, CA",0.106,0.017,0.304,0.2,0.069,0.058,0.0,0.0,0.04,0.01,0.116,0.081
145,"Pacifica city, CA",0.0,0.04,0.0,0.565,0.0,0.173,0.0,0.0,0.0,0.015,0.0,0.206
146,"Palo Alto city, CA",0.003,0.009,0.006,0.274,0.003,0.508,0.0,0.0,0.0,0.01,0.006,0.182
