Place Name,County,CRA Eligibility,Total loans 2013-2017,LM loans 2013-2017,MH loans 2013-2017,LMI tracts,pct loans to MH borrowers in LM tracts
"Pacifica city, CA",San Mateo CA,1,62,7,55,1,0.8870967741935484
"Palo Alto city, CA",Santa Clara CA,1,33,7,26,13,0.7878787878787878
"Penngrove CDP, CA",Sonoma CA,1,76,17,59,5,0.7763157894736842
"Petaluma city, CA",Sonoma CA,1,76,17,59,6,0.7763157894736842
"Pinole city, CA",Contra Costa CA,1,76,11,65,3,0.8552631578947368
"Pittsburg city, CA",Contra Costa CA,1,106,57,49,48,0.46226415094339623
"Pleasant Hill city, CA",Contra Costa CA,1,165,77,88,6,0.5333333333333333
"Point Reyes Station CDP, CA",Marin CA,1,38,0,38,6,1.0
"Redwood City city, CA",San Mateo CA,1,28,3,25,42,0.8928571428571429
"Richmond city, CA",Contra Costa CA,1,91,17,74,84,0.8131868131868132
"Rodeo CDP, CA",Contra Costa CA,1,115,34,81,5,0.7043478260869566
"Rohnert Park city, CA",Sonoma CA,1,76,17,59,11,0.7763157894736842
"Rollingwood CDP, CA",Contra Costa CA,1,65,16,49,6,0.7538461538461538
"Roseland CDP, CA",Sonoma CA,1,48,10,38,16,0.7916666666666666
"San Anselmo town, CA",Marin CA,1,46,7,39,4,0.8478260869565217
"San Bruno city, CA",San Mateo CA,1,62,23,39,14,0.6290322580645161
"San Francisco city, CA",San Francisco CA,1,24,3,21,359,0.875
"San Jose city, CA",Santa Clara CA,1,93,29,64,474,0.6881720430107527
"San Leandro city, CA",Alameda CA,1,83,39,44,58,0.5301204819277109
"San Lorenzo CDP, CA",Alameda CA,1,87,8,79,6,0.9080459770114943
"San Martin CDP, CA",Santa Clara CA,1,129,12,117,5,0.9069767441860465
"San Mateo city, CA",San Mateo CA,1,96,7,89,14,0.9270833333333334
"San Pablo city, CA",Contra Costa CA,1,53,9,44,36,0.8301886792452831
"San Rafael city, CA",Marin CA,1,73,32,41,19,0.5616438356164384
"Santa Clara city, CA",Santa Clara CA,1,65,17,48,17,0.7384615384615385
"Santa Rosa city, CA",Sonoma CA,1,142,48,94,71,0.6619718309859155
"Santa Venetia CDP, CA",Marin CA,1,103,22,81,4,0.7864077669902912
"Saranap CDP, CA",Contra Costa CA,1,81,21,60,5,0.7407407407407407
"South San Francisco city, CA",San Mateo CA,1,55,7,48,14,0.8727272727272727
"St. Helena city, CA",Napa CA,1,28,3,25,5,0.8928571428571429
"Stanford CDP, CA",Santa Clara CA,1,1,0,1,4,1.0
"Stinson Beach CDP, CA",Marin CA,1,25,2,23,4,0.92
"Suisun City city, CA",Solano CA,1,83,37,46,17,0.5542168674698795
"Sunnyvale city, CA",Santa Clara CA,1,65,2,63,24,0.9692307692307692
"Tara Hills CDP, CA",Contra Costa CA,1,76,11,65,1,0.8552631578947368
"Tomales CDP, CA",Marin CA,1,38,0,38,1,1.0
"Union City city, CA",Alameda CA,1,55,20,35,18,0.6363636363636364
"Vacaville city, CA",Solano CA,1,133,14,119,15,0.8947368421052632
"Vallejo city, CA",Solano CA,1,112,16,96,65,0.8571428571428571
"Vine Hill CDP, CA",Contra Costa CA,1,62,8,54,5,0.8709677419354839
"Walnut Creek city, CA",Contra Costa CA,1,85,14,71,10,0.8352941176470589
"Windsor town, CA",Sonoma CA,1,66,9,57,4,0.8636363636363636
unincorporated non CDP,Santa Clara CA,1,59,23,36,348,0.6101694915254238
