Place Name,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",STATEFP00,COUNTYFP00,FIPS state,Period
Napa city,0.2875310325035943,14.083333333333334,0.5993099977014421,38.604166666666664,0.04580230082973904,2.7708333333333335,0.06735666896522462,5.270833333333333,6.0,55.0,6.0,recovery 2013-2017
Newark city,0.13544159544159545,9.92,0.7837963757820521,117.88,0.024558404558404558,1.6,0.056203624217947834,6.68,6.0,1.0,6.0,recovery 2013-2017
North Fair Oaks CDP,0.4852069670605673,15.3,0.4325892165115768,20.8,0.06479303293943274,2.0,0.01741078348842324,0.95,6.0,81.0,6.0,recovery 2013-2017
Novato city,0.15897494309688334,10.533333333333333,0.6791991089590621,55.85,0.04102505690311664,3.45,0.12080089104093772,10.916666666666666,6.0,41.0,6.0,recovery 2013-2017
Oakland city,0.5139368240742717,25.96559139784946,0.3002724570946722,22.959139784946238,0.16993414366766368,8.529032258064516,0.0158565751633923,1.389247311827957,6.0,1.0,6.0,recovery 2013-2017
Oakley city,0.6021571876969865,70.4,0.0,0.0,0.39784281230301344,39.0,0.0,0.0,6.0,13.0,6.0,recovery 2013-2017
Occidental CDP,0.0,0.0,0.9467089824809648,88.8,0.0,0.0,0.053291017519035186,5.0,6.0,97.0,6.0,recovery 2013-2017
Orinda city,0.0,0.0,0.9700000822839908,91.75555555555556,0.0,0.0,0.029999917716009232,3.1555555555555554,6.0,13.0,6.0,recovery 2013-2017
Pacheco CDP,0.23444845851197244,35.06666666666667,0.5053851378171503,73.86666666666666,0.16555154148802756,25.4,0.09461486218284962,11.266666666666667,6.0,13.0,6.0,recovery 2013-2017
Pacifica city,0.02217741935483871,1.375,0.9213730076744711,59.35,0.0028225806451612897,0.175,0.05362699232552861,3.525,6.0,81.0,6.0,recovery 2013-2017
Palo Alto city,0.10562377866166228,4.45,0.8786983252780978,34.35,0.006876221338337707,0.1875,0.008801674721902169,0.3625,6.0,85.0,6.0,recovery 2013-2017
Petaluma city,0.08834975159480368,7.62,0.8259972492732639,56.62,0.0316502484051963,3.28,0.05400275072673603,3.56,6.0,97.0,6.0,recovery 2013-2017
Piedmont city,0.0,0.0,0.9924204553047508,78.0,0.0,0.0,0.007579544695249137,0.6,6.0,1.0,6.0,recovery 2013-2017
Pinole city,0.06781052631578947,7.64,0.7000268795506647,63.16,0.012189473684210528,1.4,0.21997312044933548,21.04,6.0,13.0,6.0,recovery 2013-2017
Pittsburg city,0.37677696027254903,32.46666666666667,0.22771973778087665,47.516666666666666,0.323223039727451,26.35,0.07228026221912334,9.733333333333333,6.0,13.0,6.0,recovery 2013-2017
Pleasant Hill city,0.07814948617065748,11.688888888888888,0.8065929286013221,89.26666666666667,0.05518384716267585,8.466666666666667,0.06007373806534474,6.866666666666666,6.0,13.0,6.0,recovery 2013-2017
Pleasanton city,0.0,0.0,0.9682183925326826,105.75,0.0,0.0,0.03178160746731733,3.4166666666666665,6.0,1.0,6.0,recovery 2013-2017
Point Reyes Station CDP,0.5594871794871794,11.4,0.3851299871299872,18.0,0.04051282051282051,0.6,0.01487001287001287,0.6,6.0,41.0,6.0,recovery 2013-2017
Port Costa CDP,0.0,0.0,0.8249942184312606,57.4,0.0,0.0,0.1750057815687394,11.8,6.0,13.0,6.0,recovery 2013-2017
Portola Valley town,0.0,0.0,0.9978947368421054,91.8,0.0,0.0,0.002105263157894737,0.2,6.0,81.0,6.0,recovery 2013-2017
Redwood City city,0.3799434407350502,12.165217391304347,0.5736259538384506,42.321739130434786,0.028752211438862755,0.9043478260869565,0.017678393987636397,1.4521739130434783,6.0,81.0,6.0,recovery 2013-2017
Richmond city,0.4027057525550368,34.352,0.26945860460998233,21.952,0.26129424744496293,19.528,0.06654139539001773,5.608,6.0,13.0,6.0,recovery 2013-2017
Rio Vista city,0.0,0.0,0.7287336543765652,318.4,0.0,0.0,0.2712663456234347,118.4,6.0,95.0,6.0,recovery 2013-2017
Rodeo CDP,0.3511978846517261,36.1,0.36795387450651573,18.8,0.1488021153482739,15.4,0.13204612549348424,6.8,6.0,13.0,6.0,recovery 2013-2017
Rohnert Park city,0.1450815156760814,13.127272727272727,0.6702418953770981,59.85454545454545,0.05491848432391857,5.2727272727272725,0.12975810462290202,10.854545454545455,6.0,97.0,6.0,recovery 2013-2017
Rollingwood CDP,0.36956935655987183,30.1,0.24778049775601793,16.9,0.2304306434401282,15.8,0.15221950224398206,11.0,6.0,13.0,6.0,recovery 2013-2017
Roseland CDP,0.7254857215133843,75.95,0.0,0.0,0.27451427848661575,26.9,0.0,0.0,6.0,97.0,6.0,recovery 2013-2017
Ross town,0.0,0.0,0.9944444444444445,34.2,0.0,0.0,0.005555555555555555,0.2,6.0,41.0,6.0,recovery 2013-2017
San Anselmo town,0.23587897609636735,14.066666666666666,0.7061803612930645,74.6,0.03078769057029927,1.6666666666666667,0.02715297204026889,2.533333333333333,6.0,41.0,6.0,recovery 2013-2017
San Bruno city,0.2322605304479498,9.68,0.6719718959083782,31.12,0.04773946955205026,2.28,0.048028104091621504,2.28,6.0,81.0,6.0,recovery 2013-2017
San Carlos city,0.0,0.0,0.9857631693664569,58.022222222222226,0.0,0.0,0.014236830633543121,0.9777777777777777,6.0,81.0,6.0,recovery 2013-2017
San Francisco city,0.33500772486932473,11.32661870503597,0.6061884903276511,29.280575539568346,0.03909299455513571,1.4719424460431654,0.01971079024788871,1.0388489208633094,6.0,75.0,6.0,recovery 2013-2017
San Geronimo CDP,0.0,0.0,0.8323723838009552,47.6,0.0,0.0,0.1676276161990448,9.6,6.0,41.0,6.0,recovery 2013-2017
San Jose city,0.3227209228141311,20.627099664053752,0.5575169288706553,44.82418812989921,0.08489385882080738,5.222844344904815,0.03486828949440672,2.959686450167973,6.0,85.0,6.0,recovery 2013-2017
San Leandro city,0.3423009823667453,21.0,0.43514746073420785,29.7625,0.14519901763325477,8.225,0.07735253926579216,5.75,6.0,1.0,6.0,recovery 2013-2017
San Lorenzo CDP,0.19104681509580995,13.0,0.5948479065681329,40.44,0.04895318490419005,3.24,0.1651520934318672,11.64,6.0,1.0,6.0,recovery 2013-2017
San Martin CDP,0.0,0.0,0.9394324868269208,53.1,0.0,0.0,0.060567513173079235,3.6,6.0,85.0,6.0,recovery 2013-2017
San Mateo city,0.09266053796831729,5.185185185185185,0.8566533501801341,46.49629629629629,0.01104316573538644,0.5703703703703704,0.03964294611616173,2.422222222222222,6.0,81.0,6.0,recovery 2013-2017
San Pablo city,0.48713558690939457,30.0,0.06703876199309157,3.9,0.37953107975727207,22.266666666666666,0.06629457134024178,3.7,6.0,13.0,6.0,recovery 2013-2017
San Rafael city,0.18337967443771844,14.65,0.6933793684824803,62.025,0.04162032556228158,3.3,0.08162063151751967,6.875,6.0,41.0,6.0,recovery 2013-2017
San Ramon city,0.0,0.0,0.956507702764868,146.5,0.0,0.0,0.04349229723513226,6.9,6.0,13.0,6.0,recovery 2013-2017
Santa Clara city,0.1397037981146526,8.942857142857143,0.8041538751028766,56.364285714285714,0.01743905902820454,1.0928571428571427,0.03870326775426621,2.835714285714286,6.0,85.0,6.0,recovery 2013-2017
Santa Rosa city,0.31139934380660433,25.5625,0.531650900040746,47.925,0.09485065619339564,7.8375,0.062099099959254014,5.24375,6.0,97.0,6.0,recovery 2013-2017
Santa Venetia CDP,0.6627479823938991,65.4,0.1731958762886598,16.8,0.137252017606101,13.4,0.02680412371134021,2.6,6.0,41.0,6.0,recovery 2013-2017
Saratoga city,0.0,0.0,0.9910480780565205,65.95555555555555,0.0,0.0,0.008951921943479569,0.6,6.0,85.0,6.0,recovery 2013-2017
Sebastopol city,0.0,0.0,0.9117596569485086,56.9,0.0,0.0,0.08824034305149156,5.95,6.0,97.0,6.0,recovery 2013-2017
Seven Trees CDP,0.605613802198441,56.8,0.0,0.0,0.39438619780155887,35.4,0.0,0.0,6.0,85.0,6.0,recovery 2013-2017
Sonoma city,0.0,0.0,0.956795457903068,50.2,0.0,0.0,0.04320454209693196,3.2,6.0,97.0,6.0,recovery 2013-2017
South San Francisco city,0.2687740617455754,8.4,0.6222975221644981,44.266666666666666,0.04789260492109134,1.9833333333333334,0.061035811168835115,4.083333333333333,6.0,81.0,6.0,recovery 2013-2017
Stanford CDP,0.0,0.0,0.9904761904761905,47.2,0.0,0.0,0.009523809523809523,0.4,6.0,85.0,6.0,recovery 2013-2017
Stinson Beach CDP,0.7742439024390244,23.2,0.175,4.2,0.025756097560975612,0.8,0.025,0.6,6.0,41.0,6.0,recovery 2013-2017
Strawberry CDP,0.0,0.0,0.9587216739849226,74.8,0.0,0.0,0.041278326015077284,3.2,6.0,41.0,6.0,recovery 2013-2017
Suisun City city,0.27180223045474444,20.275,0.4327833443059104,54.925,0.1531977695452556,10.425,0.1422166556940895,16.225,6.0,95.0,6.0,recovery 2013-2017
Sunnyvale city,0.13221842601567754,7.91764705882353,0.8206081186568405,53.68235294117647,0.008958044572557762,0.5705882352941176,0.03821541075492411,3.5294117647058822,6.0,85.0,6.0,recovery 2013-2017
Sunol CDP,0.0,0.0,0.9735804860794056,132.0,0.0,0.0,0.02641951392059433,2.6,6.0,1.0,6.0,recovery 2013-2017
Sunol-Midtown CDP,0.8753334159772053,89.8,0.0,0.0,0.12466658402279478,13.0,0.0,0.0,6.0,85.0,6.0,recovery 2013-2017
Tamalpais-Homestead Valley CDP,0.0,0.0,0.9743205872994546,95.9,0.0,0.0,0.025679412700545346,2.8,6.0,41.0,6.0,recovery 2013-2017
Tara Hills CDP,0.08552631578947369,6.5,0.6341759056146201,52.5,0.014473684210526316,1.1,0.26582409438537985,21.9,6.0,13.0,6.0,recovery 2013-2017
Temelec CDP,0.0,0.0,0.9297634146864293,59.7,0.0,0.0,0.07023658531357069,7.3,6.0,97.0,6.0,recovery 2013-2017
Tiburon town,0.0,0.0,0.989947881020821,104.4,0.0,0.0,0.010052118979179023,1.1,6.0,41.0,6.0,recovery 2013-2017
Tomales CDP,0.2,7.6,0.7702599742599744,36.0,0.0,0.0,0.02974002574002574,1.2,6.0,41.0,6.0,recovery 2013-2017
Union City city,0.1885667640944533,8.866666666666667,0.6908612040931819,37.93333333333333,0.028099902572213363,1.3666666666666667,0.09247212924015165,5.966666666666667,6.0,1.0,6.0,recovery 2013-2017
Vacaville city,0.16037731404502062,18.393939393939394,0.6620798381698316,69.74242424242425,0.06689541322770663,7.424242424242424,0.11064743455744101,11.393939393939394,6.0,95.0,6.0,recovery 2013-2017
Vallejo city,0.2861272144590625,17.40740740740741,0.41004049224296185,51.77777777777778,0.15831722998538197,8.748148148148148,0.14551506331259365,12.192592592592593,6.0,95.0,6.0,recovery 2013-2017
Vine Hill CDP,0.7628023252311678,44.0,0.0,0.0,0.2371976747688323,14.0,0.0,0.0,6.0,13.0,6.0,recovery 2013-2017
Walnut Creek city,0.0,0.0,0.9576371357790843,90.53846153846153,0.0,0.0,0.042362864220915744,4.446153846153846,6.0,13.0,6.0,recovery 2013-2017
West Menlo Park CDP,0.0,0.0,0.9897451830015455,56.06666666666667,0.0,0.0,0.010254816998454559,0.6666666666666666,6.0,81.0,6.0,recovery 2013-2017
Windsor town,0.0,0.0,0.908991477793488,87.25,0.0,0.0,0.09100852220651207,8.4,6.0,97.0,6.0,recovery 2013-2017
Woodacre CDP,0.0,0.0,0.8323723838009552,47.6,0.0,0.0,0.1676276161990448,9.6,6.0,41.0,6.0,recovery 2013-2017
Woodside town,0.0,0.0,0.9941896407685882,56.266666666666666,0.0,0.0,0.005810359231411863,0.26666666666666666,6.0,81.0,6.0,recovery 2013-2017
Yountville town,0.0,0.0,0.8900935578722267,41.4,0.0,0.0,0.10990644212777334,5.4,6.0,55.0,6.0,recovery 2013-2017
unincorporated non CDP,0.15130575158473844,11.53604118993135,0.7306703026462252,67.06979405034325,0.052355575646382976,4.14187643020595,0.0656683701226536,6.449656750572083,6.0,66.96796338672769,6.0,recovery 2013-2017
