GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",1308,108,1171,107,137,74
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",902,42,593,71,309,73
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",2626,132,1064,150,1562,182
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",1964,87,852,133,1112,152
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",1686,82,738,102,948,119
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",701,71,330,76,371,101
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",1672,153,661,116,1011,166
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",1433,104,427,90,1006,119
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",1095,87,480,89,615,110
1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",2168,224,918,185,1250,256
1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",2076,140,397,104,1679,159
1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",1352,84,632,134,720,142
1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",1434,127,199,70,1235,137
1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",1469,137,278,105,1191,160
1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",961,123,386,111,575,130
1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",717,107,104,64,613,110
1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",637,109,374,112,263,88
1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",482,111,99,57,383,113
1400000US06001401900,06001401900,"Census Tract 4019, Alameda County, California",256,112,82,48,174,110
1400000US06001402000,06001402000,"Census Tract 4020, Alameda County, California",31,29,10,16,21,33
1400000US06001402100,06001402100,"Census Tract 4021, Alameda County, California",802,91,35,37,767,88
1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",655,85,155,71,500,106
1400000US06001402300,06001402300,"Census Tract 4023, Alameda County, California",146,78,20,23,126,77
1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",1032,111,282,103,750,113
1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California",787,72,136,77,651,86
1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California",540,72,159,68,381,78
1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California",651,82,213,103,438,125
1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California",1163,100,77,45,1086,107
1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California",763,76,15,23,748,76
1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California",1211,151,294,94,917,153
1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California",500,68,204,59,296,80
1400000US06001403200,06001403200,"Census Tract 4032, Alameda County, California",40,22,40,22,0,132
1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California",1936,181,432,112,1504,175
1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California",2960,136,433,97,2527,171
1400000US06001403500,06001403500,"Census Tract 4035, Alameda County, California",3554,212,663,171,2891,234
1400000US06001403600,06001403600,"Census Tract 4036, Alameda County, California",2709,143,506,167,2203,183
1400000US06001403700,06001403700,"Census Tract 4037, Alameda County, California",3058,192,524,135,2534,232
1400000US06001403800,06001403800,"Census Tract 4038, Alameda County, California",1997,105,670,112,1327,124
1400000US06001403900,06001403900,"Census Tract 4039, Alameda County, California",2415,90,1000,150,1415,163
1400000US06001404000,06001404000,"Census Tract 4040, Alameda County, California",1777,125,410,84,1367,145
1400000US06001404100,06001404100,"Census Tract 4041, Alameda County, California",3600,173,888,209,2712,254
1400000US06001404200,06001404200,"Census Tract 4042, Alameda County, California",1456,60,1218,79,238,72
1400000US06001404300,06001404300,"Census Tract 4043, Alameda County, California",1406,61,1249,82,157,68
1400000US06001404400,06001404400,"Census Tract 4044, Alameda County, California",2372,117,2005,134,367,138
1400000US06001404501,06001404501,"Census Tract 4045.01, Alameda County, California",720,45,641,60,79,55
1400000US06001404502,06001404502,"Census Tract 4045.02, Alameda County, California",2631,86,2249,155,382,159
1400000US06001404600,06001404600,"Census Tract 4046, Alameda County, California",1880,88,1814,93,66,50
1400000US06001404700,06001404700,"Census Tract 4047, Alameda County, California",849,52,737,71,112,59
1400000US06001404800,06001404800,"Census Tract 4048, Alameda County, California",1384,43,747,127,637,134
1400000US06001404900,06001404900,"Census Tract 4049, Alameda County, California",1989,96,1247,129,742,153
1400000US06001405000,06001405000,"Census Tract 4050, Alameda County, California",1519,104,886,117,633,138
1400000US06001405100,06001405100,"Census Tract 4051, Alameda County, California",1670,73,1586,76,84,67
1400000US06001405200,06001405200,"Census Tract 4052, Alameda County, California",2451,171,567,138,1884,202
1400000US06001405300,06001405300,"Census Tract 4053, Alameda County, California",3406,100,299,99,3107,147
1400000US06001405400,06001405400,"Census Tract 4054, Alameda County, California",2682,176,340,127,2342,178
1400000US06001405500,06001405500,"Census Tract 4055, Alameda County, California",1442,154,335,90,1107,173
1400000US06001405600,06001405600,"Census Tract 4056, Alameda County, California",1379,100,311,90,1068,113
1400000US06001405700,06001405700,"Census Tract 4057, Alameda County, California",1254,118,478,94,776,125
1400000US06001405800,06001405800,"Census Tract 4058, Alameda County, California",1246,109,520,114,726,144
1400000US06001405900,06001405900,"Census Tract 4059, Alameda County, California",2056,140,523,174,1533,200
1400000US06001406000,06001406000,"Census Tract 4060, Alameda County, California",1401,115,189,78,1212,109
1400000US06001406100,06001406100,"Census Tract 4061, Alameda County, California",1310,115,376,112,934,151
1400000US06001406201,06001406201,"Census Tract 4062.01, Alameda County, California",1480,112,298,82,1182,115
1400000US06001406202,06001406202,"Census Tract 4062.02, Alameda County, California",1240,101,162,61,1078,110
1400000US06001406300,06001406300,"Census Tract 4063, Alameda County, California",1256,102,657,162,599,142
1400000US06001406400,06001406400,"Census Tract 4064, Alameda County, California",725,66,385,68,340,91
1400000US06001406500,06001406500,"Census Tract 4065, Alameda County, California",1926,126,800,138,1126,147
1400000US06001406600,06001406600,"Census Tract 4066, Alameda County, California",2815,153,1178,191,1637,231
1400000US06001406700,06001406700,"Census Tract 4067, Alameda County, California",2180,151,1580,177,600,167
1400000US06001406800,06001406800,"Census Tract 4068, Alameda County, California",1439,92,1086,100,353,106
1400000US06001406900,06001406900,"Census Tract 4069, Alameda County, California",1531,95,1010,149,521,142
1400000US06001407000,06001407000,"Census Tract 4070, Alameda County, California",2129,151,714,127,1415,182
1400000US06001407100,06001407100,"Census Tract 4071, Alameda County, California",2159,186,1039,140,1120,204
1400000US06001407200,06001407200,"Census Tract 4072, Alameda County, California",1604,151,528,112,1076,178
1400000US06001407300,06001407300,"Census Tract 4073, Alameda County, California",737,67,266,61,471,86
1400000US06001407400,06001407400,"Census Tract 4074, Alameda County, California",1050,175,362,68,688,179
1400000US06001407500,06001407500,"Census Tract 4075, Alameda County, California",1263,104,386,96,877,132
1400000US06001407600,06001407600,"Census Tract 4076, Alameda County, California",2209,151,1063,212,1146,205
1400000US06001407700,06001407700,"Census Tract 4077, Alameda County, California",1813,109,1353,144,460,138
1400000US06001407800,06001407800,"Census Tract 4078, Alameda County, California",798,78,659,89,139,77
1400000US06001407900,06001407900,"Census Tract 4079, Alameda County, California",1087,106,874,106,213,80
1400000US06001408000,06001408000,"Census Tract 4080, Alameda County, California",984,67,864,85,120,54
1400000US06001408100,06001408100,"Census Tract 4081, Alameda County, California",2418,146,1881,149,537,134
1400000US06001408200,06001408200,"Census Tract 4082, Alameda County, California",1693,130,899,130,794,152
1400000US06001408300,06001408300,"Census Tract 4083, Alameda County, California",1793,99,1139,114,654,143
1400000US06001408400,06001408400,"Census Tract 4084, Alameda County, California",1263,109,722,138,541,141
1400000US06001408500,06001408500,"Census Tract 4085, Alameda County, California",1533,130,826,144,707,157
1400000US06001408600,06001408600,"Census Tract 4086, Alameda County, California",1721,106,690,150,1031,149
