Tract,Year,CRA Eligible
6097153704,2009,eligible
6095253105,2009,eligible
6095253300,2009,not eligible
6095253300,2009,not eligible
6095253300,2009,not eligible
6095253500,2009,not eligible
6095253500,2009,not eligible
6097150100,2009,not eligible
6097150100,2009,not eligible
6097150100,2009,not eligible
6097150202,2009,not eligible
6097150202,2009,not eligible
6097150302,2009,eligible
6097150302,2009,eligible
6097150302,2009,eligible
6097150302,2009,eligible
6097150303,2009,not eligible
6097150303,2009,not eligible
6097150303,2009,not eligible
6097150303,2009,not eligible
6097151309,2009,not eligible
6097151309,2009,not eligible
6097152201,2009,not eligible
6097152203,2009,not eligible
6013355200,2009,not eligible
6013355200,2009,not eligible
6013355200,2009,not eligible
6013355200,2009,not eligible
6075026401,2009,eligible
6075047702,2009,not eligible
6075013100,2009,not eligible
6075011100,2009,eligible
6001400500,2009,eligible
6001400600,2009,eligible
6075031300,2009,not eligible
6001422400,2009,eligible
6001401300,2009,eligible
6075023300,2009,not eligible
6001403200,2009,not eligible
6001407600,2009,eligible
6001407700,2009,eligible
6001422500,2009,not eligible
6001423601,2009,not eligible
6001437700,2009,eligible
6001437800,2009,not eligible
6075033100,2009,not eligible
6081610602,2009,not eligible
6001404100,2009,not eligible
6085505305,2009,not eligible
6085502201,2009,eligible
6085502201,2009,eligible
6001405500,2009,eligible
6001405700,2009,eligible
6075033201,2009,eligible
6001430700,2009,not eligible
6001435500,2009,eligible
6001435500,2009,eligible
6001434000,2009,eligible
6081611000,2009,not eligible
6085505007,2009,not eligible
6085505007,2009,not eligible
6001437500,2009,eligible
6001404900,2009,not eligible
6001406600,2009,eligible
6075021800,2009,not eligible
6013377000,2009,eligible
6013383000,2009,not eligible
6013383000,2009,not eligible
6075061000,2009,eligible
6085503111,2009,eligible
6085504507,2009,not eligible
6085506603,2009,not eligible
6085506603,2009,not eligible
6095253402,2009,eligible
6095253402,2009,eligible
6001400300,2009,not eligible
6001400400,2009,not eligible
6001400100,2009,not eligible
6001400700,2009,eligible
6001400800,2009,eligible
6001401200,2009,not eligible
6001408200,2009,eligible
6001422300,2009,not eligible
6001409000,2009,eligible
6001409000,2009,eligible
6001409200,2009,eligible
6001409800,2009,not eligible
6001420300,2009,not eligible
6001421700,2009,not eligible
6001421800,2009,not eligible
6001421900,2009,not eligible
6001422000,2009,eligible
6001423700,2009,not eligible
6001423700,2009,not eligible
6001423902,2009,not eligible
6001424001,2009,eligible
6001427300,2009,not eligible
6001427800,2009,not eligible
6001427900,2009,not eligible
6001438201,2009,not eligible
6001431200,2009,not eligible
6001431200,2009,not eligible
6001432100,2009,not eligible
6001432200,2009,not eligible
6075025402,2009,not eligible
6075025403,2009,eligible
6001436100,2009,not eligible
6001436900,2009,eligible
6001437600,2009,not eligible
6075026100,2009,not eligible
6075026302,2009,not eligible
6075026200,2009,not eligible
6001402900,2009,eligible
6013314104,2009,eligible
6013314104,2009,eligible
6013314103,2009,eligible
6013314103,2009,eligible
6013314103,2009,eligible
6013328000,2009,eligible
6013329000,2009,not eligible
6013330000,2009,not eligible
6013331000,2009,not eligible
6013336101,2009,eligible
6013336102,2009,eligible
6013336200,2009,eligible
6013336200,2009,eligible
6075026303,2009,eligible
6013367100,2009,not eligible
6013367100,2009,not eligible
6013373000,2009,eligible
6013373000,2009,eligible
6013367200,2009,eligible
6013367200,2009,eligible
6013367200,2009,eligible
6013369002,2009,eligible
6013369002,2009,eligible
6013369002,2009,eligible
6013369002,2009,eligible
6055200203,2009,eligible
6055200300,2009,not eligible
6055200300,2009,not eligible
6055200400,2009,not eligible
6055200400,2009,not eligible
6055200501,2009,eligible
6075023200,2009,eligible
6075018000,2009,eligible
6075020100,2009,eligible
6075031100,2009,not eligible
6075031200,2009,not eligible
6081600300,2009,not eligible
6081600300,2009,not eligible
6081600300,2009,not eligible
6081606000,2009,not eligible
6081606000,2009,not eligible
6081600400,2009,not eligible
6081605900,2009,not eligible
6081606100,2009,not eligible
6081606200,2009,eligible
6081610400,2009,not eligible
6081607800,2009,not eligible
6081610304,2009,not eligible
6081610304,2009,not eligible
6081610304,2009,not eligible
6081610304,2009,not eligible
6081610302,2009,eligible
6081610302,2009,eligible
6081610303,2009,not eligible
6081610700,2009,eligible
6081610700,2009,eligible
6085500901,2009,eligible
6085502101,2009,not eligible
6085502101,2009,not eligible
