Place Name,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",STATEFP00,COUNTYFP00,FIPS state,Period
Cotati city,0.017894736842105262,1.7,0.6490465926589597,56.8,0.01543859649122807,1.4666666666666666,0.3176200740077071,26.666666666666668,6.0,97.0,6.0,slump 2008-2012
Crockett CDP,0.15556481862199642,18.933333333333334,0.37897087471283336,23.533333333333335,0.17776851471133692,19.133333333333333,0.2876957919538333,18.0,6.0,13.0,6.0,slump 2008-2012
Cupertino city,0.011187607573149742,0.6265060240963856,0.9601719459163228,71.87951807228916,0.0008605851979345954,0.04819277108433735,0.027779861312593003,1.963855421686747,6.0,85.0,6.0,slump 2008-2012
Daly City city,0.21395885115322819,8.432692307692308,0.5064320607474986,40.57692307692308,0.10334884115446416,4.8076923076923075,0.17626024694480924,14.317307692307692,6.0,81.0,6.0,slump 2008-2012
Danville town,0.0,0.0,0.9384763767270574,355.1290322580645,0.0,0.0,0.061523623272942383,14.903225806451612,6.0,13.0,6.0,slump 2008-2012
Deer Park CDP,0.0,0.0,0.9533623358523817,44.8,0.0,0.0,0.04663766414761835,2.4,6.0,55.0,6.0,slump 2008-2012
Diablo CDP,0.0,0.0,0.9826194346995237,131.2,0.0,0.0,0.01738056530047631,2.6,6.0,13.0,6.0,slump 2008-2012
Dillon Beach CDP,0.0,0.0,0.9554530034825601,39.8,0.0,0.0,0.04454699651743986,1.8,6.0,41.0,6.0,slump 2008-2012
Discovery Bay CDP,0.0,0.0,0.8075517444051028,693.5,0.0,0.0,0.19244825559489723,163.75,6.0,13.0,6.0,slump 2008-2012
Dixon city,0.17508472504776615,31.928571428571427,0.5459084018262006,66.42857142857143,0.11062956066651954,20.214285714285715,0.16837731245951365,33.5,6.0,95.0,6.0,slump 2008-2012
Dublin city,0.0,0.0,0.8622145255770535,234.59259259259258,0.0,0.0,0.1377854744229464,30.703703703703702,6.0,1.0,6.0,slump 2008-2012
East Foothills CDP,0.22977005366067757,25.61764705882353,0.4315396804781598,38.3235294117647,0.21140641692755774,23.205882352941178,0.12728384893360484,13.088235294117647,6.0,85.0,6.0,slump 2008-2012
East Palo Alto city,0.5952597616003187,53.5,0.0,0.0,0.4047402383996814,38.6,0.0,0.0,6.0,81.0,6.0,slump 2008-2012
East Richmond Heights CDP,0.0,0.0,0.6852122612923426,46.65,0.0,0.0,0.31478773870765736,21.7,6.0,13.0,6.0,slump 2008-2012
El Cerrito city,0.09818249345261836,4.492307692307692,0.6730852105212122,28.29230769230769,0.08643289116276627,4.7384615384615385,0.14229940486340298,6.523076923076923,6.0,13.0,6.0,slump 2008-2012
El Granada CDP,0.0,0.0,0.8983535356402523,84.6,0.0,0.0,0.10164646435974747,9.4,6.0,81.0,6.0,slump 2008-2012
El Sobrante CDP,0.08958289067286547,5.208333333333333,0.44615463880532813,58.541666666666664,0.11875044266046786,6.791666666666667,0.34551202786133844,42.958333333333336,6.0,13.0,6.0,slump 2008-2012
